92
13226
0 13226
0 13226
0 13226
0 13226
0 13226
0 13226
0 13226
0 13226
0 13226
0 13226
0 13226
0 13226
0 13226
0 13226
0 13226
0 13226
0 13226
0 13226
0 13226
0 13226
0 13226
0 13226
0 13226
0 13226
1 13226
6 13225
13.8 13220
21.5 13208
29.3 13191
37 13168
44.8 13141
52.5 13110
67.1 13076
68 13033
75.8 12994
85 12953
93.8 12908
102.5 12860
111.3 12809
120 12756
128.8 12701
137.5 12643
146.3 12584
155 12523
163.8 12461
172.5 12397
181.3 12331
190 12265
198.8 12197
168.3 12128
249.1 12093
299.8 11988
190.6 11849
332.3 11937
377.1 11782
206.9 11534
202.4 11461
133.6 11402
186.8 11527
255.2 11741
442.2 11603
104 11267
261.8 11269
519.5 11210
285.8 10806
439.6 10603
527.8 10211
597.3 9718
609 9313
701.5 8876
566.9 8398
693.2 7902
647.6 7543
703.9 7037
532.3 6950
516.8 6753
536 6614
478.1 6437
424.2 6445
427.7 6860
273.4 6910
288.2 7070
312 7361
263.7 7509
222.8 8186
225.9 8405
190.4 8515
239.2 8635
238.4 8737
268.9 8835
334.3 9018
323.3 9063
