40
14328.6
0 14328.6
0 14328.6
0 14328.6
0 14328.6
0 14328.6
0 14328.6
0 14328.6
0 14328.6
0 14328.6
94.6 14328.6
114.3 14227
137.5 14104.2
215.1 13962.4
298.6 13747.7
348 13457
426.8 13068.2
511.8 12826.9
571.1 12188.6
591.7 11801.1
631.1 11592.3
644.8 11576.1
611.3 10892.8
565 10609.7
545 10068.3
688.7 10035.5
1030 9731.7
900.9 9591.1
1043.8 9682.83
1144.7 9511.32
1139.2 9264.05
1178.1 9362.44
1287.1 9181.56
1089.7 8267.74
874.2 7585.93
722.7 7098.39
882.8 6522.54
848 5838.78
767.8 5324.73
736 4734.25
736 4255.74
