57
8275
121 1559
410 1909
1181 2187
901 2200
657 2450
784 2841
1024 3011
2292 3872
779 3229
926 3681
1560 3458
1160 2813
1151 2395
1256 2519
416 2642
1127 3224
744 3284
829 3778
881 4069
743 4411
879 4999
2544 5050
2162 5084
2366 4854
1461 4467
1403 3425
1503 3467
515 2831
507 3604
622 4096
1204 3416
1438 4454
846 3320
874 3102
1313 3152
977 3530
584 3258
291 4290
247 3846
188 3756
112 3863
219 4257
536 4638
1402 4955
1422 5273
1519 6852
2666 5137
2226 7137
2080 7832
1384 7051
1294 8275
670 6851
677 5689
576 4854
401 6851
777 5689
575 4854
