"ASSESSID","B_msy","C_msy"
"DFO-MAR-HAD4X5Y-1960-2003-PREFONTAINE",277564,19469.8378511459
"DFO-NFLD-COD2J3KL-1850-2005-RICARD",NA,NA
"DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE",NA,405394.182362799
"DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE",230674,50328.7138968207
"DFO-PAC-ESOLEHS-1944-2001-COLLIE",2757.69,735.65042959058
"DFO-PAC-HERRCC-1951-2007-COLLIE",37276,17716.9387793911
"DFO-PAC-HERRPRD-1951-2007-COLLIE",5.89e+15,NA
"DFO-PAC-HERRQCI-1951-2007-COLLIE",44812.6,NA
"DFO-PAC-HERRSOG-1951-2007-COLLIE",82875.5,NA
"DFO-PAC-HERRWCVANI-1951-2007-COLLIE",63187.1,15638.3738538319
"DFO-PAC-PCODHS-1956-2005-COLLIE",26222.6,3611.0024644098
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE",15979.4,1941.8021530906
"DFO-PAC-RSOLEHSTR-1945-2001-COLLIE",4726.97,1077.82026459608
"DFO-PAC-SABLEFPCAN-1913-2004-STANTON",NA,4001.7836362932
"DFO-POLL4X5YZ-1980-2006-PREFONTAINE",61342.3,12937.4851585491
"DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE",1572080,69186.865745375
"DFO-QUE-HERR4RFA-1971-2003-PREFONTAINE",NA,19404.4168401279
"DFO-QUE-HERR4RSP-1963-2004-PREFONTAINE",122669,27771.3641658238
"DFO-SG-COD4TVn-1965-2009-RICARD",531036,47376.2057424403
"DFO-SG-HERR4TFA-1974-2007-PREFONTAINE",306273,219598.07109131
"DFO-SG-HERR4TSP-1974-2007-PREFONTAINE",155000,71676.6470548249
"HAWG-HERR2224IIIa-1991-2006-MINTO",NA,125784.54445784
"HAWG-HERRNIRS-1960-2006-JENNINGS",96896.8,12452.558429759
"HAWG-HERRNS-1960-2007-MINTO",3514600,537937.116522933
"HAWG-HERRVIa-1957-2006-MINTO",618720,80974.7443813123
"HAWG-HERRVIaVIIbc-1969-2000-MINTO",212720,27876.9388797724
"HAWG-SPRATNS-1995-2007-MINTO",NA,NA
"IATTC-BIGEYEEPAC-1975-2007-JENSEN",NA,NA
"IATTC-YFINEPAC-1975-2007-JENSEN",NA,NA
"ICCAT-ALBANATL-1929-2005-WORM",156416,43162.4434115977
"ICCAT-ATBTUNAEATL-1969-2007-WORM",217916,52866.0897025327
"ICCAT-ATBTUNAWATL-1969-2007-WORM",NA,3976.96617758642
"ICCAT-BIGEYEATL-1950-2005-JENSEN",450663,99153.986570929
"ICCAT-SKJEATL-1950-2006-JENSEN",383658,131295.445828825
"ICCAT-SKJWATL-1952-2006-JENSEN",97261.2,28993.1885628254
"ICCAT-SWORDMED-1968-2006-JENSEN",117281,15236.738177261
"ICCAT-SWORDNATL-1978-2007-JENSEN",45692.1,15666.4914522233
"ICCAT-SWORDSATL-1970-2005-JENSEN",61520.2,15111.6425326497
"ICCAT-YFINATL-1970-2006-JENSEN",448174,147327.318069139
"IMARM-SFMAKONWPAC-1990-2003-FAUCONNET",NA,560.185856730305
"IMARPE-PANCHPERUNC-1963-2004-RICARD",NA,NA
"INIDEP-ARGANCHONARG-1989-2007-Parma",NA,29187.0914275616
"INIDEP-ARGANCHOSARG-1992-2007-Parma",NA,3568.01651961006
"INIDEP-ARGHAKENARG-1985-2007-Parma",332235,136363.454692487
"INIDEP-ARGHAKESARG-1985-2008-Parma",724287,305902.088639911
"INIDEP-PATGRENADIERSARG-1983-2006-Parma",2201140,133733.023117895
"INIDEP-SBWHITARGS-1985-2007-Parma",7.93e+17,104586.436620243
"IOTC-BIGEYEIO-1957-2006-JENSEN",NA,122182.133621562
"IPHC-PHALNPAC-1988-2009-Parma",NA,53515.7261571771
"MARAM-ANCHOSA-1984-2006-deMoor",1831850,224028.223378833
"MARAM-CHAKESA-1917-2008-DEDECKER",432732,47153.5143918749
"MARAM-CRLOBSTERSA12-1910-2008-Johnston",77275.2,NA
"MARAM-CRLOBSTERSA34-1910-2008-Johnston",12271000,NA
"MARAM-CRLOBSTERSA56-1910-2008-Johnston",3.54e+16,NA
"MARAM-CRLOBSTERSA7-1910-2008-Johnston",1.32e-07,1822.70285772122
"MARAM-CRLOBSTERSA8-1910-2008-Johnston",1.43e-07,2078.10823718389
"MARAM-CTRACSA-1950-2007-Johnston",472492,45720.2935555983
"MARAM-DEEPCHAKESA-1917-2008-DEDECKER",890680,123654.393158217
"MARAM-KINGKLIPSA-1932-2008-DEDECKER",79489.4,4349.41610027371
"MARAM-PTOOTHFISHPEI-1960-2008-DEDECKER",6.08e+15,2854.52839389941
"MARAM-SAABALONESA-1951-2008-PLAGANYI",25133.4,1074.85697723186
"MARAM-SARDSA-1984-2006-deMoor",1860220,227430.471706407
"MARAM-SSLOBSTERSASC-1973-2008-Johnston",904.625,424.936017186822
"NAFO-SC-AMPL3LNO-1955-2007-BAUM",1807630,42954.9348944185
"NAFO-SC-AMPL3M-1960-2007-BAUM",1.03e+15,1474.14627712878
"NAFO-SC-COD3M-1959-2008-BAUM",31909.7,21694.2093728189
"NAFO-SC-COD3NO-1953-2007-BAUM",2.05e+17,72159.9574501909
"NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE",194547,29559.3849300423
"NAFO-SC-REDFISHSPP3LN-1959-2008-BAUM",140267,23204.0148900273
"NAFO-SC-REDFISHSPP3M-1985-2006-PREFONTAINE",NA,27008.6755399743
"NAFO-SC-YELL3LNO-1960-2009-BAUM",74120.8,14979.3937546254
"NEFSC-ACADREDGOMGB-1913-2007-MILLER",NA,NA
"NEFSC-AMPL5YZ-1960-2008-OBRIEN",38834.6,7178.64972019462
"NEFSC-ATHAL5YZ-1800-2007-COL",48737.2,NA
"NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD",189909,27492.8656510427
"NEFSC-BSBASSMATLC-1968-2007-SHEPHERD",10649.2,3075.09851297229
"NEFSC-BUTTERGOMCHATT-1965-2005-OVERHOLTZ",NA,9310.27319780064
"NEFSC-CODGB-1960-2008-BAUM",5301680,29335.1345727829
"NEFSC-CODGOM-1893-2008-BAUM",35817.9,NA
"NEFSC-HAD5Y-1956-2008-BAUM",7.27e+15,3971.99318547318
"NEFSC-HADGB-1930-2008-BAUM",394217,NA
"NEFSC-HERRNWATLC-1960-2005-OVERHOLTZ",NA,170986.091289928
"NEFSC-ILLEXNWATLC-1967-2005-HENDRICKSON",5.27363,12758.598010836
"NEFSC-MACKGOMCHATT-1960-2005-OVERHOLTZ",NA,138610.163978584
"NEFSC-MONKGOMNGB-1964-2006-RICHARDS",68431.7,9803.99880805723
"NEFSC-MONKSGBMATL-1964-2006-RICHARDS",78932,11669.9953960442
"NEFSC-POLL5YZ-1963-2007-MAYO",3.72438,13976.4842471512
"NEFSC-QUAHATLC-1978-2008-CHUTE",2.46e-06,18617.8914804655
"NEFSC-SCALLGB-1964-2006-HART",51023.4,8348.13551406856
"NEFSC-SCALLMATLC-1964-2006-HART",93935.1,10504.7492033729
"NEFSC-SCUPNWATLC-1960-2007-TERCEIRO",NA,17969.8557507211
"NEFSC-SDOGATLC-1962-2006-SOSEBEE",NA,24085.8133848198
"NEFSC-SFLOUNMATLC-1940-2007-BAUM",90994.1,14651.5792794435
"NEFSC-SHAKEGOMNGB-1955-2005-COL",35.5039,NA
"NEFSC-SHAKESGBMATL-1955-2005-COL",125.067,66570.7165224292
"NEFSC-STRIPEDBASSGOMCHATT-1982-2006-SHEPHERD",NA,12834.3093939703
"NEFSC-SURFMATLC-1965-2008-JACOBSON",NA,25450.9578432667
"NEFSC-TILEMATLC-1973-2008-NITSCHKE",9364.41,1640.73782031262
"NEFSC-WEAKFISHATLC-1981-2008-STANTON",NA,8840.44000778245
"NEFSC-WHAKEGBGOM-1963-2007-SOSEBEE",50198.5,6338.85919716739
"NEFSC-WINDOWGOMGB-1975-2007-HENDRICKSON",1.98746,1451.97113298028
