"ASSESSID","LME_NAME","SCIENTIFICNAME","COMMON","AREA","LME_NUMBER","LME_COUNT","BIOMASS_TS_LENGTH","LANDINGS_TS_LENGTH","B_msy","C_msy","if_collapse_cmsy","nyr_collapse_cmsy","if_collapse_bmsy","nyr_collapse_bmsy"
"AFSC-WPOLLGA-1964-2008-MELNYCHUK","Gulf of Alaska","Theragra chalcogramma","Walleye pollock","Gulf of Alaska",2,1,32,44,2010230,100278.40727858,0,0,0,0
"AFSC-YSOLEBSAI-1959-2008-MELNYCHUK","East Bering Sea","Limanda aspera","Yellowfin sole","Bering Sea and Aleutian Islands",1,1,45,31,6435350,125711.094314655,0,0,1,11
"AFWG-CAPENOR-1965-2007-MINTO","Barents Sea","Mallotus villosus","Capelin","Barents Sea",20,1,35,42,5200350,1136881.62412216,1,3,1,13
"AFWG-CODCOASTNOR-1982-2006-MINTO","Norwegian Sea","Gadus morhua","Atlantic cod","North-East Arctic",21,2,23,23,428945,47088.2939370449,0,0,1,2
"AFWG-CODNEAR-1943-2006-MINTO","Barents Sea","Gadus morhua","Atlantic cod","North-East Arctic",20,2,61,61,2604060,729622.290650009,0,0,0,0
"AFWG-GHALNEAR-1959-2007-JENNINGS","Barents Sea","Reinhardtius hippoglossoides","Greenland halibut","North-East Arctic",20,2,43,43,492579,28067.1109642575,0,0,1,24
"AFWG-GOLDREDNEAR-1986-2006-MINTO","Barents Sea","Sebastes norvegicus","Golden Redfish","North-East Arctic",20,2,17,21,NA,17841.1648306167,0,0,0,0
"AFWG-HADNEAR-1947-2006-MINTO","Barents Sea","Melanogrammus aeglefinus","Haddock","North-East Arctic",20,2,57,57,439090,154722.306993444,0,0,1,2
"AFWG-POLLNEAR-1957-2006-MINTO","Barents Sea","Pollachius virens","Pollock","North-East Arctic",20,2,47,47,772332,188339.542583109,0,0,0,0
"ASMFC-ATLCROAKMATLC-1973-2002-STANTON","Northeast U.S. Continental Shelf","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast",7,1,0,30,NA,14409.0679381342,0,0,0,0
"ASMFC-LOBSTERGB-1981-2007-STANTON","Northeast U.S. Continental Shelf","Homarus americanus","American lobster","Georges Bank",7,1,0,27,NA,1836.87531412142,0,0,0,0
"ASMFC-LOBSTERGOM-1981-2007-STANTON","Northeast U.S. Continental Shelf","Homarus americanus","American lobster","Gulf of Maine",7,1,0,27,NA,31425.2113723352,0,0,0,0
"ASMFC-LOBSTERSNE-1981-2007-STANTON","Northeast U.S. Continental Shelf","Homarus americanus","American lobster","Southern New England",7,1,0,27,NA,5313.18609451905,0,0,0,0
"ASMFC-PANDALGOM-1960-2009-IDOINE","Northeast U.S. Continental Shelf","Pandalus borealis","Northern shrimp","Gulf of Maine",7,1,25,49,17796.4,4228.84950012771,0,0,0,0
"CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN","Subantarctic High Seas","Dissostichus mawsoni","Antarctic toothfish","Ross Sea",-96,1,13,13,NA,2157.93460218278,0,0,0,0
"CCSBT-SC-SBT-1931-2009-Parma","Indian High Seas","Thunnus maccoyii","Southern bluefin tuna","Southern Oceans",-97,3,79,79,589220,35157.4487284651,0,0,1,3
"CSERG-ANCHOVYKILKACS-1991-2007-JENSEN","Caspian Sea","Clupeonella engrauliformis","Anchovy kilka","Iranian Caspian Sea",-95,1,10,17,NA,29920.7746288409,0,0,0,0
