"","LME_NAME","LME_NUMBER","FAO_codes","x_min","ymin","xmax","ymax","centroid_x","centroid_y"
"47","Subantarctic High Seas",-96,"48, 58, 88",-179.999999667638,-85.4702906995037,179.999999667638,-45.0000003924835,-8.79151301040948,-64.3257671984103
"48","Indian High Seas",-97,"51, 57",29.9999995431941,-55.0000000163537,150.000000271012,30.5191630609638,83.1048537287511,-21.4912180110102
"49","Caspian Sea",-95,"unknown",NA,NA,NA,NA,NA,NA
"98","Pacific High Seas",-99,"87, 81, 77, 67, 71, 61",-180,-59.9999998291983,180,66.4148455413738,-133.199413047337,-7.66319348239789
"100","Atlantic High Seas",-98,"41, 47, 34, 31, 21, 27",-97.8882638603079,-60.0000000791983,68.5000003976145,90.0000004906574,-22.1393989118534,22.4895087396362
