AREAID,km2,lat,lon
multinational-UNKNOWN-NWPAC,29420870,43,-142.5
multinational-WCPFC-SPAC,7308057451,-35.02,-70.33
New Zealand-MFish-8,67280,-39.17,173.3
New Zealand-MFish-CIR,227989,-53.16,171.32
New Zealand-MFish-CR,879324881,-44.09,-26.98
New Zealand-MFish-CRA1,399295,-33.63,172.65
New Zealand-MFish-CRA2,26699684693,-36.1,95.66
New Zealand-MFish-CRA3,2303671631,-40.32,6.76
New Zealand-MFish-CRA4,74563,-41.66,176.21
New Zealand-MFish-CRA5,142860,-44.38,174.66
New Zealand-MFish-CRA7,84814,-46.55,171.9
New Zealand-MFish-CRA8,84814,-46.55,171.9
New Zealand-MFish-ENZ,45518619,-38.14,151.71
New Zealand-MFish-LIN3-4,275920239,-43.89,11.21
New Zealand-MFish-LIN5-6,28354047681,-49.9,113.86
New Zealand-MFish-LIN6b,815277624,-49.07,-5.69
New Zealand-MFish-LIN72,45764801564,-40.11,71.68
New Zealand-MFish-LIN7WC-WCSI,203793,-42.51,167.45
New Zealand-MFish-NZ,4094877028,-35.7,32.11
New Zealand-MFish-NZMEC,44232957484,-40.89,-14.94
New Zealand-MFish-PAU5A,54984,-45.68,166.37
New Zealand-MFish-PAU5B,59787,-47.11,167.39
New Zealand-MFish-PAU5D,31421,-45.99,171.2
New Zealand-MFish-PAU7,24269,-41.62,173.67
New Zealand-MFish-SA,1665563263,-49.7,116.74
New Zealand-MFish-TRE7,309307,-41.56,168.36
New Zealand-MFish-WECR,5463743046,-44.09,150.18
New Zealand-MFish-WNZ,812793,-44.09,169.45
Peru-IMARPE-NC,2592119,-6.11,-79.14
Russia-RFFA-NSO,783976,59.53,149.41
Russia-RFFA-WBS,1541792552,58.81,146.09
South Africa-DETMCM-1-2,58895,-29.88,17
South Africa-DETMCM-3-4,32801,-31.88,17.25
South Africa-DETMCM-5-6,19468,-32.88,17.25
South Africa-DETMCM-7,9029,-33.42,17.25
South Africa-DETMCM-8,69157,-35.02,17.75
South Africa-DETMCM-PEI,120905,-46.88,37.2
South Africa-DETMCM-SA,3259438,-29.62,25.21
South Africa-DETMCM-SASC,2389559,-34.33,27.53
USA-NMFS-5Y,111362,43.78,-69.21
USA-NMFS-5YCHATT,302113,39.12,-72.47
USA-NMFS-5YZ,296009,41.87,-68.89
USA-NMFS-5YZSNE,296009,41.87,-68.89
USA-NMFS-5Z,185058,40.67,-68.69
USA-NMFS-5ZSNE,185058,40.67,-68.69
USA-NMFS-AI,331067,53.5,-167.5
USA-NMFS-AIES,165872,53.5,-163.75
USA-NMFS-AIWS,165845,53.5,-171.25
USA-NMFS-ATL,4001904,34.74,-65.83
USA-NMFS-ATLC,1237104,35.7,-75.55
USA-NMFS-BB,74842,52.05,-173.5
USA-NMFS-BS,805634758,57.65,-45.42
USA-NMFS-BSAI,805634758,57.65,-45.42
USA-NMFS-CAL,1426282,35.11,-118.35
USA-NMFS-CBS,7143841,57.66,-85.62
USA-NMFS-CCOD5Y,111362,43.78,-69.21
USA-NMFS-CWPAC,428462,38.25,-125.03
USA-NMFS-EBS,1032738,60.17,-167.55
USA-NMFS-EBSAI,1539692,57.92,-167.54
USA-NMFS-EBSAIGA,4196827,57.87,-152.56
USA-NMFS-EBSGA,2710608,60.12,-152.58
USA-NMFS-EGM,1009201,27.54,-87.61
USA-NMFS-GA,819151,57.98,-146.69
USA-NMFS-GM,2496985,24.95,-91.62
USA-NMFS-GOMNGB,111362,43.78,-69.21
USA-NMFS-MATLC,496532,38.02,-74.36
USA-NMFS-NATL,282174,41.88,-69.03
USA-NMFS-NCAL,173215,39.54,-123.16
USA-NMFS-NPAC,10811935,52.91,-147.62
USA-NMFS-NPCOAST,1206543,47.75,-125
USA-NMFS-NS,29408,63.85,-164.27
USA-NMFS-NWATL,6290311,46.62,-57.41
USA-NMFS-NWATLC,3815571,48.47,-61.32
USA-NMFS-ORECOAST,74853,44.1,-124.41
USA-NMFS-PCOAST,3246712,39.54,-120.48
USA-NMFS-PI,153069,56.82,-169.98
USA-NMFS-SATL,564206,31.09,-78.64
USA-NMFS-SATLC,392932,31.55,-79.34
USA-NMFS-SATLCGM,2894673,25.9,-89.85
USA-NMFS-SCAL,205759,33.75,-121
USA-NMFS-SGBMATL,317858,38.39,-67.71
USA-NMFS-SMI,247659,60.41,-172.72
USA-NMFS-SNE,82498,42.25,-71
USA-NMFS-SNEMATL,1700861,37.68,-62.5
USA-NMFS-SNEMATLB,685280,38.76,-72.78
USA-NMFS-SPCOAST,205759,33.75,-121
USA-NMFS-WATL,8685164,29.67,-67.18
USA-NMFS-WGM,1147829,24.97,-93.16
USA-US State-ATKINS,0,33.6,-92.05
USA-US State-HUNT,1,44.86,-84.15
USA-US State-KAB,196,48.47,-92.99
USA-US State-MIN,3,47.37,-122.7
USA-US State-NIMROD,3,47.37,-122.7
USA-US State-OKA,62,32.51,-88.8
USA-US State-PWS,14542,60.62,-147.17
USA-US State-RI,5518,41.66,-71.5
USA-US State-ROSS,488,32.48,-90.01
USA-US State-SHAL,127,47.64,-124.25
USA-US State-SITKA,16107,57.05,-135.33
USA-US State-SKY,8,47.76,-121.46
USA-US State-SNAH,50,47.76,-124.13
USA-US State-SNOW,50,47.76,-124.13
USA-US State-SPRI,2,42.67,-121.89
USA-US State-TAYU,128,47.45,-124
USA-US State-WILD,72,47.6,-124.29
