STOCKID,LME_NUMBER,STOCKTOLMERELATION
ARGANCHOSARG,14,primary
PATGRENADIERSARG,14,primary
PHALNPAC,2,primary
PHALNPAC,1,secondary
REDFISHSPP3M,9,primary
BSKATCANATL,8,primary
BSKATCANATL,7,secondary
BSKATCANATL,9,tertiary
REDFISHSPP1,18,primary
REDFISHSPP3LN,9,primary
REDFISHSPP23K,9,primary
WHAKE4VWX5,8,primary
WHAKE4VWX5,7,secondary
GHAL4RST,9,primary
GHAL4RST,8,secondary
REDFISHSPP3Pn4RSTVn,9,primary
REDFISHSPP3Pn4RSTVn,8,secondary
HERR4TFA,8,primary
HERR4TSP,8,primary
OROUGHYCASCADE,42,primary
BTSHRIMPNAUST,39,primary
GTPRAWNNAUST,39,primary
RSOLEHSTR,2,primary
ESOLEHS,2,primary
SSLOBSTERSASC,30,primary
CTRACSA,30,primary
MUTSNAPSATLCGM,6,primary
MUTSNAPSATLCGM,5,secondary
MENATGM,5,primary
NZSNAPNZ8,46,primary
ANCHOSA,29,primary
ANCHOSA,30,secondary
SARDSA,29,primary
SARDSA,30,secondary
SBWHITACIR,46,primary
NZLINGLIN3-4,46,primary
YFINEPAC,-99,primary
CRLOBSTERSA12,29,primary
YFINCWPAC,-99,primary
CRLOBSTERSA34,29,primary
BIGEYEWPO,-99,primary
CRLOBSTERSA56,29,primary
GAGSATLC,6,primary
CRLOBSTERSA7,29,primary
CRLOBSTERSA8,29,primary
RSNAPSATLC,6,primary
NZLINGLIN6b,46,primary
GRAMBERSATLC,6,primary
NZLINGLIN5-6,46,primary
NZLINGLIN72,46,primary
BIGEYEEPAC,-99,primary
NZLINGLIN7WC,46,primary
TASGIANTCRABTAS,42,primary
SOUTHHAKECR,46,primary
SOUTHHAKESA,46,primary
RPORGYSATLC,6,primary
GEMFISHNZ,46,primary
TREVALLYTRE7,46,primary
SRAKEROCKBSAI,1,primary
ATKABSAI,1,primary
GHALBSAI,1,primary
ARFLOUNDBSAI,1,primary
FLSOLEBSAI,1,primary
REYEROCKBSAI,1,primary
NROCKBSAI,1,primary
SABLEFEBSAIGA,1,primary
SABLEFEBSAIGA,2,secondary
WPOLLEBS,1,primary
PCODBSAI,1,primary
ALPLAICBSAI,1,primary
YSOLEBSAI,1,primary
WPOLLGA,2,primary
WPOLLAI,1,primary
POPERCHGA,2,primary
DUSROCKGA,2,primary
SNOWCRABBS,1,primary
BKINGCRABPI,1,primary
BKINGCRABSMI,1,primary
RKCRABBB,1,primary
TANNERCRABBSAI,1,primary
RKCRABPI,1,primary
RKCRABNS,1,primary
GKINGCRABAIES,1,primary
GKINGCRABAIWS,1,primary
ILLEXNWATLC,7,primary
ILLEXNWATLC,8,secondary
ILLEXNWATLC,9,tertiary
MACKGOMCHATT,7,primary
PAUAPAU5A,46,primary
PAUAPAU5D,46,primary
PAUAPAU5B,46,primary
PAUAPAU7,46,primary
RROCKLOBSTERCRA1,46,primary
RROCKLOBSTERCRA2,46,primary
RROCKLOBSTERCRA3,46,primary
RROCKLOBSTERCRA4,46,primary
RROCKLOBSTERCRA5,46,primary
RROCKLOBSTERCRA7,46,primary
RROCKLOBSTERCRA8,46,primary
BLACKOREOWECR,46,primary
SMOOTHOREOWECR,46,primary
SMOOTHOREOCR,46,primary
MENATLAN,7,primary
MENATLAN,6,secondary
MENATLAN,8,tertiary
SWORDSATL,-98,primary
SCUPNWATLC,7,primary
MONKSGBMATL,7,primary
OROUGHYNZMEC,46,primary
MONKGOMNGB,7,primary
BIGEYEIO,-97,primary
DEEPCHAKESA,29,primary
DEEPCHAKESA,30,secondary
ATLCROAKMATLC,7,primary
CMACKNPAC,2,primary
CMACKNPAC,1,secondary
CMACKPCOAST,3,primary
KINGKLIPSA,29,primary
KINGKLIPSA,30,secondary
PTOOTHFISHPEI,-96,primary
HERRPWS,2,primary
HERRSITKA,2,primary
SHAKEGOMNGB,7,primary
SHAKESGBMATL,7,primary
CHAKESA,29,primary
CHAKESA,30,secondary
SARDPCOAST,3,primary
SARDPCOAST,2,secondary
CALSCORPSCAL,3,primary
BIGEYEATL,-98,primary
SKJEATL,-98,primary
SKJWATL,-98,primary
YFINATL,-98,primary
DSOLEGA,2,primary
HERRNWATLC,7,primary
BUTTERGOMCHATT,7,primary
BSBASSMATLC,7,primary
BLUEFISHATLC,7,primary
DSOLEPCOAST,3,primary
CHTRACCH,13,primary
TILEMATLC,7,primary
TILEMATLC,6,secondary
SSTHORNHPCOAST,3,primary
LSTHORNHPCOAST,3,primary
YTSNAPSATLCGM,6,primary
YTSNAPSATLCGM,5,secondary
PANDALGOM,7,primary
YTROCKNPCOAST,3,primary
SCALLMATLC,7,primary
SCALLGB,7,primary
RDEEPCRABNWATL,7,primary
SBARSHARATL,8,primary
SBARSHARATL,7,secondary
LINGCODNPCOAST,3,primary
LINGCODSPCOAST,3,primary
SNOWGROUPSATLC,6,primary
TILESATLC,6,primary
VSNAPSATLC,6,primary
GOPHERSPCOAST,3,primary
PSOLESPCOAST,3,primary
PSOLENPCOAST,3,primary
STFLOUNSPCOAST,3,primary
STFLOUNNPCOAST,3,primary
BGROCKPCOAST,3,primary
WPOLLNSO,52,primary
WPOLLWBS,53,primary
LOBSTERGOM,7,primary
LOBSTERGB,7,primary
LOBSTERSNE,7,primary
SAABALONESA,29,primary
SNOWCRABSGSL,8,primary
BSKAT5YZSNE,7,primary
CSKATMATLC,7,primary
CSKATMATLC,6,secondary
LSKAT5YCHATT,7,primary
RSKATMATLC,7,primary
RSKATMATLC,6,secondary
SSKAT5YZSNE,7,primary
TSKAT5YZSNE,7,primary
WSKAT5YCHATT,7,primary
AUSSALMONNZ,46,primary
BTIPSHARATL,6,primary
BTIPSHARATL,7,secondary
BTIPSHARGM,5,primary
FTOOTHSHARATL,6,primary
FTOOTHSHARATL,7,secondary
BNOSESHARATL,6,primary
BNOSESHARATL,7,secondary
SNOSESHARATL,6,primary
SNOSESHARATL,7,secondary
BHEADSHARATL,6,primary
BHEADSHARATL,7,secondary
KELPGREENLINGORECOAST,3,primary
CABEZNCAL,3,primary
CABEZSCAL,3,primary
ATOOTHFISHRS,-96,primary
SFMAKONWPAC,-99,primary
SFMAKONWPAC,-98,secondary
SFMAKONWPAC,-97,tertiary
WEAKFISHATLC,7,primary
RSNAPEGM,5,primary
RSNAPWGM,5,primary
PANCHPERUNC,13,primary
ANCHOVYKILKACS,-95,primary
SBT,-97,primary
SBT,-99,secondary
SBT,-98,tertiary
STMARLINSWPO,-99,primary
SABLEFPCAN,2,primary
PTOOTHFISHMI,-96,primary
CUSK4X,7,primary
YTSNAPSATLC,6,primary
