ASSESSID,COMMON,AREA,POINTS_AVAILABLE,BMSY,SSBMSY,BLIM,SSBLIM,SSBPA,SSBTARGET,UMSY,FMSY,FLIM
NZMFishMIDDEPTHSWG-SBWHITACIR-1979-2006-JENSEN,Southern blue whiting,New Zealand - Campbell Island Rise,14,,52105.0464,,,,,,0.328,
NZMFishMIDDEPTHSWG-SOUTHHAKECR-1975-2006-JENSEN,Southern hake,Chatham Rise,14,,7786.9455,,,,,,0.29,
NZMFishMIDDEPTHSWG-SOUTHHAKESA-1975-2007-JENSEN,Southern hake,Sub-Antarctic,11,,14153.0846,,,,,,0.307,
PFMC-LINGCODNPCOAST-1956-2005-STANTON,Lingcod,Northern Pacific Coast,11,,,,,,,,,
PFMC-LINGCODSPCOAST-1956-2005-STANTON,Lingcod,Southern Pacific Coast,11,,,,,,,,,
RIDEM-LOBSTERRI-1959-2007-COLLIE,American lobster,Rhode Island,4,5662,,,,,,,0.442,
RIDEM-TAUTOGRI-1959-2007-COLLIE,Tautog,Rhode Island,6,1562,,,,,,,0.292,
RIDEM-WINFLOUNDRI-1959-2007-COLLIE,Winter flounder,Rhode Island,7,5478,,,,,,,0.266,
SEFSC-BHEADSHARATL-1950-2005-FAUCONNET,Bonnethead shark,Atlantic,16,,,,,,,,0.31,
SEFSC-BNOSESHARATL-1950-2005-FAUCONNET,Blacknose shark,Atlantic,17,,,,,,,,0.07,
SEFSC-BTIPSHARATL-1981-2004-FAUCONNET,Blacktip shark,Atlantic,17,,,,,,,,0.2,
SEFSC-BTIPSHARGM-1981-2004-FAUCONNET,Blacktip shark,Gulf of Mexico,17,,,,,,,,0.2,
SEFSC-FTOOTHSHARATL-1976-2005-FAUCONNET,Finetooth shark,Atlantic,17,,,,,,,,0.03,
SEFSC-GAGGM-1963-2004-JENSEN,Gag,Gulf of Mexico,8,,12383.06,,,,,,0.201,0.27
SEFSC-GAGSATLC-1962-2005-JENSEN,Gag,Southern Atlantic coast,6,,3594.7166,,3091.456276,,,,0.237,0.237
SEFSC-GRAMBERGM-1986-2004-JENSEN,Greater amberjack,Gulf of Mexico,9,,4024.721816,,,,,,0.5679,0.5679
SEFSC-GRAMBERSATLC-1946-2006-JENSEN,Greater amberjack,Southern Atlantic coast,7,5491,1940,1455,,,,,0.433,0.433
SEFSC-GTRIGGM-1981-2004-JENSEN,Gray triggerfish,Gulf of Mexico,10,,,,,,,,0.45,0.269
SEFSC-KMACKGM-1992-2001-JENSEN,King Mackerel,Gulf of Mexico,4,,,,,,,,0.269,
SEFSC-KMACKSATLC-1981-2001-JENSEN,King Mackerel,Southern Atlantic coast,4,,,,,,,,0.29,
SEFSC-MENATGM-1964-2004-GILROY,Gulf menhaden,Gulf of Mexico,4,,,,,,,,,1.46
SEFSC-MUTSNAPSATLCGM-1981-2006-JENSEN,Mutton snapper,Southern Atlantic coast and Gulf of Mexico,10,,6296,,,,,,0.34,
SEFSC-RGROUPGM-1986-2005-JENSEN,Red grouper,Gulf of Mexico,7,,,,,,,,0.22,0.22
SEFSC-RPORGYSATLC-1972-2004-JENSEN,Red porgy,Southern Atlantic coast,15,,3236.02,,,,,,0.2,0.2
SEFSC-RSNAPEGM-1872-2003-STANTON,Red snapper,Eastern Gulf of Mexico,9,,1236505.489,,,,,,,
SEFSC-RSNAPSATLC-1945-2006-JENSEN,Red snapper,Southern Atlantic coast,7,,5184,,,,,,0.112,0.841
SEFSC-RSNAPWGM-1880-2003-STANTON,Red snapper,Western Gulf of Mexico,9,,1236505.489,,,,,,,
SEFSC-SBARSHARATL-1975-2004-FAUCONNET,Sandbar shark,Atlantic,20,,,,,,,,0.015,
SEFSC-SNOSESHARATL-1950-2005-FAUCONNET,Atlantic sharpnose shark,Atlantic,18,,,,,,,,0.19,
SEFSC-SNOWGROUPSATLC-1961-2002-STANTON,Snowy grouper,Southern Atlantic coast,14,2481,2116,,,,,0.037,0.05,
SEFSC-SPANMACKSATLC-1950-2008-JENSEN,Spanish mackerel,Southern Atlantic coast,4,40288,15027,,,,,,0.352,
SEFSC-TILESATLC-1961-2002-STANTON,Tilefish,Southern Atlantic coast,11,2611.4,879.4,,,,,0.035,0.043,
SEFSC-VSNAPGM-1981-2004-JENSEN,Vermilion snapper,Gulf of Mexico,9,,,,,,,,0.81,0.79
SEFSC-VSNAPSATLC-1946-2008-STANTON,Vermilion snapper,Southern Atlantic coast,13,3300,,,,,,,0.386,
SEFSC-YTSNAPSATLC-1962-2001-STANTON,Yellowtail snapper,Southern Atlantic coast,10,,4913,,,,,,0.36,
SFI-WPOLLNSO-1985-1994-JENSEN,Walleye pollock,Northern Sea of Okhotsk,8,7600000,,,,,,,0.27,
SPC-ALBASPAC-1959-2006-JENSEN,Albacore tuna,South Pacific Ocean,15,,40400,,,,,0.188,,
SPC-BIGEYEWPO-1952-2006-JENSEN,Bigeye tuna,Western Pacific Ocean,15,249600,102200,,,,,0.2588,,
SPC-SKJCWPAC-1972-2006-JENSEN,Skipjack tuna,Central Western Pacific,13,"1,438,000",894200,,,,,0.89,,
SPC-STMARLINSWPO-1950-2003-JENSEN,Striped marlin,Western Pacific Ocean,9,10890,8903,,,,,,0.226,
SPC-YFINCWPAC-1952-2005-JENSEN,Yellowfin tuna,Central Western Pacific,13,1489000,679800,,,,,0.2686,,
SPRFMO-CHTRACCH-1950-2010-RICARD,Chilean jack mackerel,Chilean EEZ and offshore,2,,,,,,,,,
SWFSC-CALSCORPSCAL-1990-2005-STANTON,California scorpionfish,Southern California,11,,,,,,,,,
SWFSC-CMACKPCOAST-1929-2008-PINSKY,Pacific chub mackerel,Pacific Coast,17,,122357,,29420,,,,,
SWFSC-DSOLEPCOAST-1910-2005-STANTON,Dover sole,Pacific Coast,15,,117281,,,,,,,
SWFSC-GOPHERSPCOAST-1965-2005-STANTON,Gopher rockfish,Southern Pacific Coast,16,,798,,,,,0.103,,
SWFSC-SARDPCOAST-1981-2007-PINSKY,Pacific sardine,Pacific Coast,17,,,,,,,,0.15,
SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH,Shortbelly rockfish,Pacific Coast,21,,,,,,,,,
SWFSC-STFLOUNNPCOAST-1970-2005-STANTON,Starry flounder,Northern Pacific Coast,15,,1930,,,,,0.169,,
SWFSC-STFLOUNSPCOAST-1970-2005-STANTON,Starry flounder,Southern Pacific Coast,15,,934,,,,,0.169,,
TAFI-TASGIANTCRABTAS-1990-2007-JENSEN,Tasmanian giant crab,Tasmania,1,,,,,,,,,
VNIRO-WPOLLWBS-1994-2004-JENSEN,Walleye pollock,Western Bering Sea,4,,,,,,,,,
WGBFAS-CODBA2224-1969-2007-JENNINGS,Atlantic cod,Western Baltic,10,,,,,23000,,,,
WGBFAS-CODBA2532-1964-2007-JENNINGS,Atlantic cod,Eastern Baltic,13,,,,160000,240000,,,,0.96
WGBFAS-CODKAT-1970-2006-MINTO,Atlantic cod,Kattegat and Skagerrak,12,,,,6400,10500,,,,1
WGBFAS-HERR2532-1973-2006-JENNINGS,Herring,Eastern Baltic,11,,,,,,,,,0.33
WGBFAS-HERR30-1972-2007-JENNINGS,Herring,Bothnian Sea,13,,,,145000,200000,,,,0.3
WGBFAS-HERR31-1979-2006-JENNINGS,Herring,Bothnian Bay,9,,,,,,,,,
WGBFAS-HERRIsum-1983-2007-JENNINGS,Herring,Iceland Grounds,9,,,,,,,,,
WGBFAS-HERRRIGA-1976-2007-JENNINGS,Herring,Gulf of Riga East of Gotland,12,,,,36500,50000,,,,
WGBFAS-SOLEIIIa-1982-2007-JENNINGS,common European sole,Kattegat and Skagerrak,13,,,,770,1060,,,,0.47
WGBFAS-SPRAT22-32-1973-2007-JENNINGS,Sprat,Baltic Areas 22-32,12,,,,200000,275000,,,,
WGHMM-FMEG8c9a-1986-2006-JENNINGS,Fourspotted megrim,VIIIc-IXa,9,,,,,,,,,
WGHMM-HAKENRTN-1977-2007-JENNINGS,Hake,IIIa-IV-VI-VII-VIIIabd,13,,,,100000,140000,,,,0.35
WGHMM-HAKESOTH-1982-2007-JENNINGS,Hake,VIIIc-IXa,13,,,,25000,35000,,,,0.55
WGHMM-MEG8c9a-1985-2007-JENNINGS,Megrim,VIIIc-IXa,9,,,,,,,,,
WGHMM-SOLEVIII-1982-2006-JENNINGS,common European sole,Bay of Biscay,12,,,,,13000,,,,0.58
WGMHSA-ANCHOBAYB-1986-2007-JENNINGS,Anchovy,Bay of Biscay,12,,,,21000,33000,,,,
WGMHSA-MACKNEICES-1972-2007-JENNINGS,Mackerel,IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa,12,,,,,2300000,,,,0.27
WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS,European pilchard,VIIIc-IXa,9,,,,,,,,,
WGNPBW-BWHITNEA-1980-2007-JENNINGS,Blue whiting,Northeast Atlantic,13,,,,1500000,2250000,,,,0.51
WGNSDS-CODIS-1968-2006-MINTO,Atlantic cod,Irish Sea,14,,,,6000,10000,,,,1
WGNSDS-CODVIa-1977-2006-MINTO,Atlantic cod,West of Scotland,13,,,,14000,22000,,,,0.8
WGNSDS-HADIS-1972-2006-MINTO,Haddock,Irish Sea,9,,,,,,,,,
WGNSDS-HADVIa-1977-2006-MINTO,Haddock,West of Scotland,13,,,,22000,30000,,,,
WGNSDS-PLAICIS-1962-2006-MINTO,European Plaice,Irish Sea,12,,,,,3100,,,,
WGNSDS-SOLEIS-1968-2006-MINTO,common European sole,Irish Sea,14,,,,2800,3800,,,,0.4
WGNSDS-WHITVIa-1984-2007-MINTO,Whiting,West of Scotland,8,,,,,,,,,
WGNSSK-CODNS-1962-2007-MINTO,Atlantic cod,North Sea,11,,,,70000,150000,,,,0.86
WGNSSK-HADNS-IIIa-1963-2006-MINTO,Haddock,IIIa and North Sea,12,,,,100000,140000,,,,1
WGNSSK-HADROCK-1990-2007-JENNINGS,Haddock,Rockall Bank,12,,,,6000,9000,,,,
WGNSSK-NPOUTNS-1983-2007-MINTO,Norway pout,North Sea,10,,,,90000,150000,,,,
WGNSSK-PLAIC7d-1979-2006-MINTO,European Plaice,Eastern English Channel,12,,,,5600,8000,,,,0.54
WGNSSK-PLAICIIIa-1976-2006-MINTO,European Plaice,Kattegat and Skagerrak,10,,,,,24000,,,,
WGNSSK-PLAICNS-1956-2006-MINTO,European Plaice,North Sea,13,,,,160000,230000,,,,0.74
WGNSSK-POLLNS-VI-IIIa-1964-2006-MINTO,Pollock,"IIIa, VI and North Sea",14,,,,106000,200000,,,,0.6
WGNSSK-SEELNS-1983-2007-MINTO,Sand lance,North Sea,10,,,,430000,600000,,,,
WGNSSK-SOLENS-1956-2006-MINTO,common European sole,North Sea,13,,,,25000,35000,,,,
WGNSSK-SOLEVIId-1981-2006-MINTO,common European sole,Eastern English Channel,13,,,,,8000,,,,0.55
WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO,Whiting,"IIIa, VIId and North Sea",14,,,,225000,315000,,,,0.9
WGSSDS-HADVIIb-k-1993-2006-JENNINGS,Haddock,ICES VIIb-k,9,,,,,,,,,
WGSSDS-PLAICCELT-1976-2006-JENNINGS,European Plaice,Celtic Sea,11,,,,1100,1800,,,,
WGSSDS-PLAICECHW-1975-2006-JENNINGS,European Plaice,Western English Channel,12,,,,1300,2500,,,,
WGSSDS-SOLECS-1970-2006-JENNINGS,common European sole,Celtic Sea,12,,,,,2200,,,,0.52
WGSSDS-SOLEVIIe-1968-2006-JENNINGS,common European sole,Western English Channel,13,,,,2000,2800,,,,0.28
WGSSDS-WHITVIIek-1982-2007-JENNINGS,Whiting,Celtic Sea,11,,,,15000,21000,,,,
