ASSESSID,COMMON,AREA,POINTS_AVAILABLE,BMSY,SSBMSY,BLIM,SSBLIM,SSBPA,SSBTARGET,UMSY,FMSY,FLIM
CSIRO-GEMFISHSE-1966-2007-FULTON,common gemfish,Southeast Australia,23,,5458.32,2274.3,,,,,,
CSIRO-GTPRAWNNAUST-1970-2006-FULTON,Grooved Tiger Prawn,Northern Australia,3,,,,,,,,,
CSIRO-MORWONGSE-1913-2007-FULTON,Jackass morwong,Southeast Australia,25,,11482.608,4784.42,,,,,,
CSIRO-NZLINGESE-1968-2007-FULTON,Ling,Southeast Australia,24,,3324.48,1385.2,,,,,,
CSIRO-NZLINGWSE-1968-2007-FULTON,Ling,Western half of Southeast Australia,24,,3377.5632,1407.318,,,,,,
CSIRO-OROUGHYCASCADE-1987-2006-FULTON,Orange roughy,Cascade Plateau,15,,,,5716.3,13719.12,,,,
CSIRO-OROUGHYSE-1978-2007-FULTON,Orange roughy,Southeast Australia,16,,8149.26,,,,,,,
CSIRO-PTOOTHFISHMI-1975-2010-FAY,Patagonian toothfish,Macquarie Island,23,,869.707,,,,,,0.0580997,
CSIRO-SILVERFISHSE-1978-2006-FULTON,Silverfish,Southeast Australia,25,,9927.456,4136.44,,,,,,
CSIRO-SWHITSE-1945-2007-FULTON,School whiting,Southeast Australia,26,,3734.3088,1555.962,,,,,,
CSIRO-TIGERFLATSE-1913-2006-FULTON,Tiger flathead,Southeast Australia,26,,5472.868,2545.52,,,,,,
CSIRO-WAREHOUESE-1984-2006-FULTON,Blue Warehou,Eastern half of Southeast Australia,21,,1568.16,653.4,,,,,,
CSIRO-WAREHOUWSE-1984-2006-FULTON,Blue Warehou,Western half of Southeast Australia,21,,1568.16,653.4,,,,,,
DFO-COD5Zjm-1978-2003-PREFONTAINE,Atlantic cod,Georges Bank,9,,,,,,,,,
DFO-HAD5Zejm-1968-2003-PREFONTAINE,Haddock,Georges Bank,10,,,,,,,,,
DFO-HERR4VWX-1964-2006-PREFONTAINE,Herring,Scotian Shelf and Bay of Fundy,15,SEE NOTES,,,,,,,,
DFO-MAR-COD4VsW-1958-2002-PREFONTAINE,Atlantic cod,Eastern Scotian Shelf,12,,,,,,,,,
DFO-MAR-CUSK4X-1970-2007-RICARD,Cusk,Western Scotian Shelf,6,25790,,,,,,0.0575,,
DFO-MAR-HAD4X5Y-1960-2003-PREFONTAINE,Haddock,"Western Scotian Shelf, Bay of Fundy and Gulf of Maine",10,,,,,,,,,
DFO-NFLD-COD2J3KL-1850-2005-RICARD,Atlantic cod,Southern Labrador-Eastern Newfoundland,15,,,,,,,,,
DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE,Atlantic cod,Southern Labrador-Eastern Newfoundland,16,,,,,,,,,
DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE,Atlantic cod,St. Pierre Bank,11,,,,,,,,,
DFO-PAC-ESOLEHS-1944-2001-COLLIE,English sole,Hecate Strait,8,,,,,,,,,
DFO-PAC-HERRCC-1951-2007-COLLIE,Pacific herring,Central Coast,1,,,,,,,,,
DFO-PAC-HERRPRD-1951-2007-COLLIE,Pacific herring,Prince Rupert District,1,,,,,,,,,
DFO-PAC-HERRQCI-1951-2007-COLLIE,Pacific herring,Queen Charlotte Islands,1,,,,,,,,,
DFO-PAC-HERRSOG-1951-2007-COLLIE,Pacific herring,Straight of Georgia,1,,,,,,,,,
DFO-PAC-HERRWCVANI-1951-2007-COLLIE,Pacific herring,West Coast of Vancouver Island,1,,,,,,,,,
DFO-PAC-PCODHS-1956-2005-COLLIE,Pacific cod,Hecate Strait,13,8861,,11165,,,,,0.354,
DFO-PAC-PCODWCVANI-1956-2002-COLLIE,Pacific cod,West Coast of Vancouver Island,12,6731,,,,,,,0.226,
DFO-PAC-RSOLEHSTR-1945-2001-COLLIE,Rock sole,Hecate Strait,7,,,,,,,,,
DFO-PAC-SABLEFPCAN-1913-2004-STANTON,Sablefish,Pacific Coast of Canada,4,,56381,,,,,,0.047,
DFO-POLL4X5YZ-1980-2006-PREFONTAINE,Pollock,"Western Scotian Shelf, Bay of Fundy, Gulf of Maine and Georges Bank",9,,,,,,,,,
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,Atlantic cod,Northern Gulf of St. Lawrence,13,,,,,,,,,
DFO-QUE-HERR4RFA-1971-2003-PREFONTAINE,Herring,NAFO division 4R,16,,,47953,,,,,,
DFO-QUE-HERR4RSP-1963-2004-PREFONTAINE,Herring,NAFO division 4R,16,,,37831,,,,,,
DFO-SG-COD4TVn-1965-2009-RICARD,Atlantic cod,Southern Gulf of St. Lawrence,9,,,,,,,,,
DFO-SG-HERR4TFA-1974-2007-PREFONTAINE,Herring,Southern Gulf of St. Lawrence,11,,,,,,,,,
DFO-SG-HERR4TSP-1974-2007-PREFONTAINE,Herring,Southern Gulf of St. Lawrence,12,,,,,,,,,
HAWG-HERR2224IIIa-1991-2006-MINTO,Herring,22-24-IIIa,10,,,,,,,,,
HAWG-HERRNIRS-1960-2006-JENNINGS,Herring,Irish Sea,11,,,,6000,9500,,,,
HAWG-HERRNS-1960-2007-MINTO,Herring,North Sea,12,,,,800000,1300000,,,,
HAWG-HERRVIa-1957-2006-MINTO,Herring,West of Scotland,10,,,,50000,,,,,
HAWG-HERRVIaVIIbc-1969-2000-MINTO,Herring,"VIa, VIIb and VIIc",11,,,,81000,110000,,,,0.33
HAWG-SPRATNS-1995-2007-MINTO,Sprat,North Sea,6,,,,,,,,,
IATTC-BIGEYEEPAC-1975-2007-JENSEN,Bigeye tuna,Eastern Pacific,6,313767,,,,,,,,
IATTC-YFINEPAC-1975-2007-JENSEN,Yellowfin tuna,Northeast Pacific,5,417813,,,,,,,,
ICCAT-ALBANATL-1929-2005-WORM,Albacore tuna,Northern Atlantic,23,167000,,,,,,,0.181,0.181
ICCAT-ATBTUNAEATL-1969-2007-WORM,Atlantic bluefin tuna,Eastern Atlantic,19,495914.5,,,,,,,0.1141685,
ICCAT-ATBTUNAWATL-1969-2007-WORM,Atlantic bluefin tuna,Western Atlantic,25,15148,15148,,,,,,0.15,0.15
ICCAT-BIGEYEATL-1950-2005-JENSEN,Bigeye tuna,Atlantic,10,451800,,,,,,,0.201,
ICCAT-SKJEATL-1950-2006-JENSEN,Skipjack tuna,Eastern Atlantic,4,384159,,,,,,,0.636753572,
ICCAT-SKJWATL-1952-2006-JENSEN,Skipjack tuna,Western Atlantic,4,100052,,,,,,,0.489367075,
ICCAT-SWORDMED-1968-2006-JENSEN,Swordfish,Mediterranean Sea,14,117300,,,,,,0.1035,,
ICCAT-SWORDNATL-1978-2007-JENSEN,Swordfish,Northern Atlantic,4,47399,,,,,,,0.3895,
ICCAT-SWORDSATL-1970-2005-JENSEN,Swordfish,South Atlantic,3,46690,,,,,,,0.356,
ICCAT-YFINATL-1970-2006-JENSEN,Yellowfin tuna,Atlantic,4,,173191.0079,,,,,,0.73235,
IMARM-SFMAKONWPAC-1990-2003-FAUCONNET,Shortfin mako,Nothwest Pacific Ocean,10,,,,,,,,,
IMARPE-PANCHPERUNC-1963-2004-RICARD,Peruvian anchoveta,North-Central Peruvian coast,1,,,,,,,,,
INIDEP-ARGANCHONARG-1989-2007-Parma,Argentine anchoita,Northern Argentina,44,1047948.41,748152,,,,,,0.1898,
INIDEP-ARGANCHOSARG-1992-2007-Parma,Argentine anchoita,Southern Argentina,47,733418.85,298839,350000,,,,,0.17,
INIDEP-ARGHAKENARG-1985-2007-Parma,Argentine hake,Northern Argentina,44,602198,429200,99764,,,,0.28133,0.4322,
INIDEP-ARGHAKESARG-1985-2008-Parma,Argentine hake,Southern Argentina,45,1001788.06,701328.02,218713,,,,0.27718,0.4285,
INIDEP-PATGRENADIERSARG-1983-2006-Parma,Patagonian grenadier,Southern Argentina,46,642031,372542,415041,,,,0.2058,0.3294,
INIDEP-SBWHITARGS-1985-2007-Parma,Southern blue whiting,Southern Argentina,37,,,460473,,,,,,
IOTC-BIGEYEIO-1957-2006-JENSEN,Bigeye tuna,Indian Ocean,5,,350000,,,,,,0.3,
IPHC-PHALNPAC-1988-2009-Parma,Pacific halibut,North Pacific,31,,,,,,,,,available
MARAM-ANCHOSA-1984-2006-deMoor,Anchovy,South Africa,18,,,531400,,,109600,,,
MARAM-CHAKESA-1917-2008-DEDECKER,Shallow-water cape hake,South Africa,24,,218000,,,,,,,
MARAM-CRLOBSTERSA12-1910-2008-Johnston,South African west coast rock lobster,South Africa Areas 1-2,14,,,326,,,,,,
MARAM-CRLOBSTERSA34-1910-2008-Johnston,South African west coast rock lobster,South Africa Areas 3-4,14,,,2048,,,,,,
MARAM-CRLOBSTERSA56-1910-2008-Johnston,South African west coast rock lobster,South Africa Areas 5-6,15,,,822,,,,,,
MARAM-CRLOBSTERSA7-1910-2008-Johnston,South African west coast rock lobster,South Africa Area 7,14,,,4913,,,,,,
MARAM-CRLOBSTERSA8-1910-2008-Johnston,South African west coast rock lobster,South Africa Area 8,14,,,4350,,,,,,
MARAM-CTRACSA-1950-2007-Johnston,Cape horse mackerel,South Africa South coast,22,,,418631,,,,,,
MARAM-DEEPCHAKESA-1917-2008-DEDECKER,Deep-water cape hake,South Africa,26,,321000,,,,,,,
MARAM-KINGKLIPSA-1932-2008-DEDECKER,Kingklip,South Africa,20,,66828,,,,,,,
MARAM-PTOOTHFISHPEI-1960-2008-DEDECKER,Patagonian toothfish,South Africa Subantarctic Prince Edward Islands,17,,5678,,,,,,,
MARAM-SAABALONESA-1951-2008-PLAGANYI,South African abalone,South Africa,20,,,5689,,,,,,
MARAM-SARDSA-1984-2006-deMoor,Sardine,South Africa,19,,,56500,,,594700,,,
MARAM-SSLOBSTERSASC-1973-2008-Johnston,Southern spiny lobster,South Africa South coast,21,,,249,,,,,,
NAFO-SC-AMPL3LNO-1955-2007-BAUM,American Plaice,Grand Banks,23,,,50000,,,,,,
NAFO-SC-AMPL3M-1960-2007-BAUM,American Plaice,Flemish Cap,13,,,,,,,,,
NAFO-SC-COD3M-1959-2008-BAUM,Atlantic cod,Flemish Cap,8,,,14000,,,,,,
NAFO-SC-COD3NO-1953-2007-BAUM,Atlantic cod,Southern Grand Banks,16,,,60000,,,,,,
NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE,Greenland halibut,Labrador Shelf - Grand Banks,7,,,,,,,,,
NAFO-SC-REDFISHSPP3LN-1959-2008-BAUM,Redfish species,N and SW Grand Banks,9,141900,,,,,,,0.172,
NAFO-SC-REDFISHSPP3M-1985-2006-PREFONTAINE,Redfish species,Flemish Cap,14,,,,,,,,,
NAFO-SC-YELL3LNO-1960-2009-BAUM,Yellowtail Flounder,Grand Banks,8,73580,,,,,,,0.26,
