"","ASSESSID","X.1","X","LME_NAME","ADMB_BMSY","BRP_BMSY","BRP_SSBMSY","NUM_TOTAL","NUM_SSB","SCIENTIFICNAME","UMSY","FMSY","LME_NUMBER","LME_COUNT","final_analysis","upper_thresh","C_msy","collapse_brp_bmsy","collapse_brp_ssbmsy","collapse_cmsy","collapse_admb","TS_LENGTH","short_ID","BMSY"
"26","AFSC-RKCRABBB-1960-2008-JENSEN",26,26,"East Bering Sea",6.20751e+15,NA,34070,24,24,"Paralithodes camtschaticus",0.33,NA,1,1,1,207801.38,17.0434702706691,NA,0,0,1,24,"AFSC24",FALSE
"27","AFSC-RKCRABNS-1976-2008-JENSEN",27,27,"East Bering Sea",NA,NA,1617.96,0,33,"Paralithodes camtschaticus",NA,NA,1,1,1,NA,NA,NA,0,NA,NA,33,NA,NA
"28","AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK",28,28,"East Bering Sea",318547,NA,100730,49,49,"Anoplopoma fimbria",NA,0.101,1,2,1,NA,22.0416420522107,NA,0,0,0,49,"AFSC25",FALSE
"29","AFSC-SNOWCRABBS-1979-2008-JENSEN",29,29,"East Bering Sea",1222480,NA,418030.728,30,30,"Chionoecetes opilio",NA,NA,1,1,1,NA,63.3972186602008,NA,0,0,1,30,"AFSC26",FALSE
"30","AFSC-SRAKEROCKBSAI-1977-2008-STANTON",30,30,"East Bering Sea",1.53098e-07,NA,139188,29,0,"Sebastes borealis",NA,0.0225,1,1,1,NA,0.499508404122497,NA,1,0,0,29,"AFSC27",FALSE
"31","AFSC-WPOLLAI-1976-2008-MELNYCHUK",31,31,"East Bering Sea",3.57638e+16,NA,98987,31,31,"Theragra chalcogramma",NA,0.357,1,1,1,3170200,38.757008946037,NA,0,0,1,31,"AFSC28",FALSE
"32","AFSC-WPOLLEBS-1963-2008-MELNYCHUK",32,32,"East Bering Sea",6223020,NA,1919000,45,45,"Theragra chalcogramma",NA,NA,1,1,1,NA,1347.68634118281,NA,0,0,0,45,"AFSC29",FALSE
"33","AFSC-WPOLLGA-1964-2008-MELNYCHUK",33,33,"Gulf of Alaska",2010230,903000,208000,32,32,"Theragra chalcogramma",0.187,0.286,2,1,1,NA,100.27840727858,0,0,0,0,32,"AFSC30",FALSE
"34","AFSC-YSOLEBSAI-1959-2008-MELNYCHUK",34,34,"East Bering Sea",6435350,NA,329000,45,45,"Limanda aspera",NA,0.13,1,1,1,5669340,125.711094314655,NA,0,0,1,45,"AFSC31",FALSE
"35","AFWG-CAPENOR-1965-2007-MINTO",35,35,"Barents Sea",5200350,NA,NA,35,27,"Mallotus villosus",NA,NA,20,1,1,NA,1136.88162412216,NA,NA,0,1,35,"AFWG32",FALSE
"36","AFWG-CODCOASTNOR-1982-2006-MINTO",36,36,"Norwegian Sea",428945,NA,NA,23,23,"Gadus morhua",NA,NA,21,2,1,NA,47.0882939370449,NA,NA,0,1,23,"AFWG33",FALSE
"37","AFWG-CODNEAR-1943-2006-MINTO",37,37,"Barents Sea",2604060,NA,NA,61,61,"Gadus morhua",NA,NA,20,2,1,NA,729.622290650009,NA,NA,0,0,61,"AFWG34",FALSE
"38","AFWG-GHALNEAR-1959-2007-JENNINGS",38,38,"Barents Sea",492579,NA,NA,43,43,"Reinhardtius hippoglossoides",NA,NA,20,2,1,NA,28.0671109642575,NA,NA,0,1,43,"AFWG35",FALSE
"39","AFWG-GOLDREDNEAR-1986-2006-MINTO",39,39,"Barents Sea",NA,NA,NA,17,17,"Sebastes norvegicus",NA,NA,20,2,1,NA,17.8411648306167,NA,NA,0,NA,17,NA,NA
"40","AFWG-HADNEAR-1947-2006-MINTO",40,40,"Barents Sea",439090,NA,NA,57,57,"Melanogrammus aeglefinus",NA,NA,20,2,1,NA,154.722306993444,NA,NA,0,1,57,"AFWG36",FALSE
