"","ASSESSID","TSYEAR","SSB","TOTAL","CATCH_LANDINGS","units_total","units_ssb","units_catch"
"55","ADFG-HERRSITKA-1978-2007-COLLIE",2005,85901.66,113223.25,33.656553854,"MT","MT","MT"
"56","ADFG-HERRSITKA-1978-2007-COLLIE",2006,84923.03,106607.21,30.2319314605,"MT","MT","MT"
"57","ADFG-HERRSITKA-1978-2007-COLLIE",2007,82880.44,98398.57,31.5745648757,"MT","MT","MT"
"58","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1972,NA,NA,NA,NA,NA,NA
"59","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1973,NA,NA,NA,NA,NA,NA
"60","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1974,NA,NA,NA,NA,NA,NA
"61","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1975,172125,1136420,2492,"MT","MT","MT"
"62","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1976,208732,1293040,3620,"MT","MT","MT"
"63","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1977,247863,1426510,2589,"MT","MT","MT"
"64","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1978,281912,1538610,10420,"MT","MT","MT"
"65","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1979,308075,1627500,13672,"MT","MT","MT"
"66","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1980,337365,1686430,6902,"MT","MT","MT"
"67","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1981,370607,1718730,8653,"MT","MT","MT"
"68","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1982,411737,1729330,6811,"MT","MT","MT"
"69","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1983,443838,1721590,10766,"MT","MT","MT"
"70","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1984,469901,1669490,18982,"MT","MT","MT"
"71","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1985,476423,1593060,24888,"MT","MT","MT"
"72","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1986,468456,1501420,46519,"MT","MT","MT"
"73","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1987,451535,1430420,18567,"MT","MT","MT"
"74","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1988,432878,1324270,61638,"MT","MT","MT"
"75","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1989,404037,1295700,14134,"MT","MT","MT"
"76","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1990,387198,1262020,10926,"MT","MT","MT"
"77","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1991,369813,1237030,15003,"MT","MT","MT"
"78","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1992,350450,1204320,18074,"MT","MT","MT"
"79","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1993,333477,1194400,13846,"MT","MT","MT"
"80","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1994,323936,1182570,10882,"MT","MT","MT"
"81","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1995,318627,1165200,19172,"MT","MT","MT"
"82","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1996,310472,1137060,16096,"MT","MT","MT"
"83","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1997,307622,1099280,21236,"MT","MT","MT"
"84","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1998,300812,1065360,14296,"MT","MT","MT"
"85","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",1999,300783,1037760,13997,"MT","MT","MT"
"86","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2000,295967,1021130,14487,"MT","MT","MT"
"87","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2001,292180,1033790,8685,"MT","MT","MT"
"88","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2002,284077,1066910,12176,"MT","MT","MT"
"89","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2003,275286,1181750,9978,"MT","MT","MT"
"90","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2004,267245,1361180,7572,"MT","MT","MT"
"91","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2005,265295,1479680,11079,"MT","MT","MT"
"92","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2006,268379,1550420,17202,"MT","MT","MT"
"93","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2007,284426,1562280,19427,"MT","MT","MT"
"94","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",2008,318176,1537920,NA,"MT","MT",NA
"95","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1970,NA,NA,12872,NA,NA,"MT"
"96","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1971,NA,NA,19373,NA,NA,"MT"
"97","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1972,NA,NA,14446,NA,NA,"MT"
"98","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1973,NA,NA,12922,NA,NA,"MT"
"99","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1974,NA,NA,24668,NA,NA,"MT"
"100","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1975,NA,NA,21616,NA,NA,"MT"
"101","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1976,158781,251434,19176,"MT","MT","MT"
"102","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1977,157687,248550,11489,"MT","MT","MT"
"103","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1978,167314,255523,10140,"MT","MT","MT"
"104","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1979,174482,265676,14357,"MT","MT","MT"
"105","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1980,173514,271974,18364,"MT","MT","MT"
"106","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1981,173256,278414,17113,"MT","MT","MT"
"107","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1982,177675,287306,11518,"MT","MT","MT"
"108","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1983,187094,306042,13969,"MT","MT","MT"
"109","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1984,194330,324760,9452,"MT","MT","MT"
"110","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1985,213962,347781,7447,"MT","MT","MT"
"111","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1986,240468,374697,7181,"MT","MT","MT"
"112","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1987,256850,409525,4859,"MT","MT","MT"
"113","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1988,276549,449340,19990,"MT","MT","MT"
"114","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1989,289764,482729,7306,"MT","MT","MT"
"115","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1990,312459,531932,13058,"MT","MT","MT"
"116","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1991,343049,573663,22052,"MT","MT","MT"
"117","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1992,383001,600869,10382,"MT","MT","MT"
"118","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1993,426976,632893,9338,"MT","MT","MT"
"119","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1994,461060,659131,14366,"MT","MT","MT"
"120","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1995,478406,673945,9280,"MT","MT","MT"
"121","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1996,494967,692466,14652,"MT","MT","MT"
"122","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1997,501634,704798,10054,"MT","MT","MT"
"123","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1998,507398,726368,15241,"MT","MT","MT"
"124","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",1999,509864,748908,10573,"MT","MT","MT"
"125","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2000,524969,780786,12929,"MT","MT","MT"
"126","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2001,543316,817676,13908,"MT","MT","MT"
"127","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2002,562611,856909,11540,"MT","MT","MT"
"128","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2003,596293,904521,12834,"MT","MT","MT"
"129","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2004,635103,951786,17809,"MT","MT","MT"
"130","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2005,663351,993348,13685,"MT","MT","MT"
"131","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2006,697773,1035350,13309,"MT","MT","MT"
"132","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2007,742608,1067480,11670,"MT","MT","MT"
"133","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",2008,788485,1090100,19403,"MT","MT","MT"
"134","AFSC-ARFLOUNDGA-1958-2010-STANTON",1958,NA,NA,NA,NA,NA,NA
"135","AFSC-ARFLOUNDGA-1958-2010-STANTON",1959,NA,NA,NA,NA,NA,NA
"136","AFSC-ARFLOUNDGA-1958-2010-STANTON",1960,NA,NA,NA,NA,NA,NA
"137","AFSC-ARFLOUNDGA-1958-2010-STANTON",1961,197773,362688,NA,"MT","MT",NA
"138","AFSC-ARFLOUNDGA-1958-2010-STANTON",1962,203554,372234,NA,"MT","MT",NA
"139","AFSC-ARFLOUNDGA-1958-2010-STANTON",1963,207858,379575,NA,"MT","MT",NA
"140","AFSC-ARFLOUNDGA-1958-2010-STANTON",1964,211591,386327,514,"MT","MT","MT"
"141","AFSC-ARFLOUNDGA-1958-2010-STANTON",1965,215285,391923,514,"MT","MT","MT"
"142","AFSC-ARFLOUNDGA-1958-2010-STANTON",1966,219009,396013,2469,"MT","MT","MT"
"143","AFSC-ARFLOUNDGA-1958-2010-STANTON",1967,220958,396891,2276,"MT","MT","MT"
"144","AFSC-ARFLOUNDGA-1958-2010-STANTON",1968,222825,397871,1697,"MT","MT","MT"
"145","AFSC-ARFLOUNDGA-1958-2010-STANTON",1969,224985,400189,1315,"MT","MT","MT"
"146","AFSC-ARFLOUNDGA-1958-2010-STANTON",1970,227123,404932,1886,"MT","MT","MT"
"147","AFSC-ARFLOUNDGA-1958-2010-STANTON",1971,228318,411347,1185,"MT","MT","MT"
"148","AFSC-ARFLOUNDGA-1958-2010-STANTON",1972,229843,436435,4477,"MT","MT","MT"
