ASSESSID,AREAID,km2,lat,lon
DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE,Canada-DFO-3Ps,125784,46.5,-55.89
DFO-SG-COD4TVn-1965-2007-PREFONTAINE,Canada-DFO-4T,364842,47.51,-67.57
DFO-SG-COD4TVn-1965-2009-RICARD,Canada-DFO-4T,364842,47.51,-67.57
DFO-MAR-COD4VsW-1958-2002-PREFONTAINE,Canada-DFO-4VsW,570694,41.86,-58.22
DFO-COD5Zjm-1978-2003-PREFONTAINE,Canada-DFO-5Zjm,92253,40.5,-68
WGBFAS-CODBA2224-1969-2007-JENNINGS,multinational-ICES-22-24,98290,54.75,12.06
WGBFAS-CODBA2532-1964-2007-JENNINGS,multinational-ICES-25-32,1002955,61.68,22.26
AFWG-CODCOASTNOR-1982-2006-MINTO,multinational-ICES-I-II,5629995,76.92,26.36
NWWG-CODFAPL-1959-2006-MINTO,multinational-ICES-Vb1,173007,61.61,-9.66
NEFSC-CODGB-1960-2008-BAUM,USA-NMFS-5Z,185058,40.67,-68.69
NEFSC-CODGOM-1893-2008-BAUM,USA-NMFS-5Y,111362,43.78,-69.21
NWWG-CODICE-1952-2006-MINTO,multinational-ICES-Va,485043,65.11,-19.26
WGNSDS-CODIS-1968-2006-MINTO,multinational-ICES-VIIa,134226,53.46,-4.98
WGBFAS-CODKAT-1970-2006-MINTO,multinational-ICES-IIIa,141326,58.49,10.31
AFWG-CODNEAR-1943-2006-MINTO,multinational-ICES-I-II,5629995,76.92,26.36
WGNSSK-CODNS-1962-2007-MINTO,multinational-ICES-IV,921642,56.58,2.88
WGNSDS-CODVIa-1977-2006-MINTO,multinational-ICES-VIa,285871,57.29,-8.18
NWFSC-COWCODSCAL-1900-2007-BRANCH,USA-NMFS-SCAL,205759,33.75,-121
MARAM-CRLOBSTERSA12-1910-2008-Johnston,South Africa-DETMCM-1-2,58895,-29.88,17
MARAM-CRLOBSTERSA34-1910-2008-Johnston,South Africa-DETMCM-3-4,32801,-31.88,17.25
MARAM-CRLOBSTERSA56-1910-2008-Johnston,South Africa-DETMCM-5-6,19468,-32.88,17.25
MARAM-CRLOBSTERSA7-1910-2008-Johnston,South Africa-DETMCM-7,9029,-33.42,17.25
MARAM-CRLOBSTERSA8-1910-2008-Johnston,South Africa-DETMCM-8,69157,-35.02,17.75
NWFSC-CROCKPCOAST-1916-2007-BRANCH,USA-NMFS-PCOAST,3246712,39.54,-120.48
NWFSC-CROCKPCOAST-1916-2009-Stachura,USA-NMFS-PCOAST,3246712,39.54,-120.48
MARAM-CTRACSA-1950-2007-Johnston,South Africa-DETMCM-SASC,2389559,-34.33,27.53
DFO-MAR-CUSK4X-1970-2007-RICARD,Canada-DFO-4X,218106,43.14,-65.16
MARAM-DEEPCHAKESA-1917-2008-DEDECKER,South Africa-DETMCM-SA,3259438,-29.62,25.21
CSIRO-DEEPFLATHEADSE-1978-2007-FULTON,Australia-AFMA-SE,5430238,-34.03,147.02
NWFSC-DKROCKPCOAST-1928-2007-BRANCH,USA-NMFS-PCOAST,3246712,39.54,-120.48
AFSC-DSOLEGA-1978-2010-STANTON,USA-NMFS-GA,819151,57.98,-146.69
SWFSC-DSOLEPCOAST-1910-2005-STANTON,USA-NMFS-PCOAST,3246712,39.54,-120.48
AFSC-DUSROCKGA-1973-2008-MELNYCHUK,USA-NMFS-GA,819151,57.98,-146.69
DFO-PAC-ESOLEHS-1944-2001-COLLIE,Canada-DFO-HS,39969,53.12,-130.83
NWFSC-ESOLEPCOAST-1876-2007-BRANCH,USA-NMFS-PCOAST,3246712,39.54,-120.48
AFSC-FLSOLEBSAI-1977-2008-STANTON,USA-NMFS-BSAI,805634758,57.65,-45.42
AFSC-FLSOLEGA-1978-2008-STANTON,USA-NMFS-GA,819151,57.98,-146.69
AFSC-FLSOLEGA-1978-2010-Stachura,USA-NMFS-GA,819151,57.98,-146.69
WGHMM-FMEG8c9a-1986-2006-JENNINGS,multinational-ICES-VIIIc-IXa,501146,40.69,-7.69
SEFSC-FTOOTHSHARATL-1976-2005-FAUCONNET,USA-NMFS-ATL,4001904,34.74,-65.83
SEFSC-GAGGM-1963-2004-JENSEN,USA-NMFS-GM,2496985,24.95,-91.62
SEFSC-GAGSATLC-1962-2005-JENSEN,USA-NMFS-SATLC,392932,31.55,-79.34
NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN,New Zealand-MFish-NZ,4094877028,-35.7,32.11
CSIRO-GEMFISHSE-1966-2007-FULTON,Australia-AFMA-SE,5430238,-34.03,147.02
NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE,multinational-NAFO-23KLMNO,2278723,50.32,-51.88
AFSC-GHALBSAI-1960-2009-STANTON,USA-NMFS-BSAI,805634758,57.65,-45.42
AFWG-GHALNEAR-1959-2007-JENNINGS,multinational-ICES-I-II,5629995,76.92,26.36
AFSC-GKINGCRABAIES-1990-2007-JENSEN,USA-NMFS-AIES,165872,53.5,-163.75
AFSC-GKINGCRABAIWS-1989-2007-JENSEN,USA-NMFS-AIWS,165845,53.5,-171.25
AFWG-GOLDREDNEAR-1986-2006-MINTO,multinational-ICES-I-II,5629995,76.92,26.36
SWFSC-GOPHERSPCOAST-1965-2005-STANTON,USA-NMFS-SPCOAST,205759,33.75,-121
SEFSC-GRAMBERGM-1986-2004-JENSEN,USA-NMFS-GM,2496985,24.95,-91.62
SEFSC-GRAMBERSATLC-1946-2006-JENSEN,USA-NMFS-SATLC,392932,31.55,-79.34
CSIRO-GTPRAWNNAUST-1970-2006-FULTON,Australia-AFMA-NAUST,8355535,-17.24,133.18
SEFSC-GTRIGGM-1981-2004-JENSEN,USA-NMFS-GM,2496985,24.95,-91.62
DFO-MAR-HAD4X5Y-1960-2003-PREFONTAINE,Canada-DFO-4X5Y,329151,43.36,-66.54
NEFSC-HAD5Y-1956-2008-BAUM,USA-NMFS-5Y,111362,43.78,-69.21
DFO-HAD5Zejm-1968-2003-PREFONTAINE,Canada-DFO-5Zejm,92253,40.5,-68
NWWG-HADFAPL-1955-2006-MINTO,multinational-ICES-Vb1,173007,61.61,-9.66
NEFSC-HADGB-1930-2008-BAUM,USA-NMFS-5Z,185058,40.67,-68.69
NWWG-HADICE-1977-2007-MINTO,multinational-ICES-Va,485043,65.11,-19.26
WGNSDS-HADIS-1972-2006-MINTO,multinational-ICES-VIIa,134226,53.46,-4.98
AFWG-HADNEAR-1947-2006-MINTO,multinational-ICES-I-II,5629995,76.92,26.36
WGNSSK-HADNS-IIIa-1963-2006-MINTO,multinational-ICES-IIIa-IV,1066012,56.84,3.91
WGNSSK-HADROCK-1990-2007-JENNINGS,multinational-ICES-VIb,221241,57.25,-15
WGNSDS-HADVIa-1977-2006-MINTO,multinational-ICES-VIa,285871,57.29,-8.18
WGSSDS-HADVIIb-k-1993-2006-JENNINGS,multinational-ICES-VIIb-k,773580,50.81,-9.72
WGHMM-HAKENRTN-1977-2007-JENNINGS,multinational-ICES-IIIa-IV-VI-VII-VIIIabd,2842784,54.14,-3.86
WGHMM-HAKESOTH-1982-2007-JENNINGS,multinational-ICES-VIIIc-IXa,501146,40.69,-7.69
HAWG-HERR2224IIIa-1991-2006-MINTO,multinational-ICES-22-24-IIIa,239628,57.04,10.99
WGBFAS-HERR2532-1973-2006-JENNINGS,multinational-ICES-25-32,1002955,61.68,22.26
WGBFAS-HERR30-1972-2007-JENNINGS,multinational-ICES-30,234862,62.17,23
WGBFAS-HERR31-1979-2006-JENNINGS,multinational-ICES-31,295786,65.91,23.16
DFO-QUE-HERR4RFA-1971-2003-PREFONTAINE,Canada-DFO-4R,70600,49.81,-58.02
DFO-QUE-HERR4RSP-1963-2004-PREFONTAINE,Canada-DFO-4R,70600,49.81,-58.02
DFO-SG-HERR4TFA-1974-2007-PREFONTAINE,Canada-DFO-4T,364842,47.51,-67.57
DFO-SG-HERR4TSP-1974-2007-PREFONTAINE,Canada-DFO-4T,364842,47.51,-67.57
DFO-HERR4VWX-1964-2006-PREFONTAINE,Canada-DFO-4VWX,816503,42.41,-60.11
DFO-PAC-HERRCC-1951-2007-COLLIE,Canada-DFO-CC,74251,52.38,-129.02
WGBFAS-HERRIsum-1983-2007-JENNINGS,multinational-ICES-Va,485043,65.11,-19.26
HAWG-HERRNIRS-1960-2006-JENNINGS,multinational-ICES-VIIa,134226,53.46,-4.98
HAWG-HERRNS-1960-2007-MINTO,multinational-ICES-IV,921642,56.58,2.88
NEFSC-HERRNWATLC-1960-2005-OVERHOLTZ,USA-NMFS-NWATLC,3815571,48.47,-61.32
DFO-PAC-HERRPRD-1951-2007-COLLIE,Canada-DFO-PRD,115649,53.12,-130.83
ADFG-HERRPWS-1980-2006-COLLIE,USA-US State-PWS,14542,60.62,-147.17
DFO-PAC-HERRQCI-1951-2007-COLLIE,Canada-DFO-QCI,17952,52.68,-131.79
WGBFAS-HERRRIGA-1976-2007-JENNINGS,multinational-ICES-28,84998,57.46,21.71
ADFG-HERRSITKA-1978-2007-COLLIE,USA-US State-SITKA,16107,57.05,-135.33
DFO-PAC-HERRSOG-1951-2007-COLLIE,Canada-DFO-SOG,19260,49.35,-123.86
HAWG-HERRVIa-1957-2006-MINTO,multinational-ICES-VIa,285871,57.29,-8.18
HAWG-HERRVIaVIIbc-1969-2000-MINTO,multinational-ICES-VIa-VIIb-VIIc,427820,56.12,-9.74
DFO-PAC-HERRWCVANI-1951-2007-COLLIE,Canada-DFO-WCVANI,78771,49.64,-126.69
