ASSESSID,AREAID,km2,lat,lon
NEFSC-SCUPNWATLC-1960-2007-TERCEIRO,USA-NMFS-NWATLC,3815571,48.47,-61.32
NEFSC-SDOGATLC-1962-2006-SOSEBEE,USA-NMFS-ATLC,1237104,35.7,-75.55
WGNSSK-SEELNS-1983-2007-MINTO,multinational-ICES-IV,921642,56.58,2.88
NEFSC-SFLOUNMATLC-1940-2007-BAUM,USA-NMFS-MATLC,496532,38.02,-74.36
IMARM-SFMAKONWPAC-1990-2003-FAUCONNET,multinational-UNKNOWN-NWPAC,29420870,43,-142.5
NEFSC-SHAKEGOMNGB-1955-2005-COL,USA-NMFS-5YZ,296009,41.87,-68.89
NEFSC-SHAKESGBMATL-1955-2005-COL,USA-NMFS-SGBMATL,317858,38.39,-67.71
CSIRO-SILVERFISHSE-1978-2006-FULTON,Australia-AFMA-SE,5430238,-34.03,147.02
SPC-SKJCWPAC-1972-2006-JENSEN,USA-NMFS-CWPAC,428462,38.25,-125.03
ICCAT-SKJEATL-1950-2006-JENSEN,multinational-ICCAT-EATL,38136898,33.96,-1.26
ICCAT-SKJWATL-1952-2006-JENSEN,multinational-ICCAT-WATL,4730204,5.19,-50.66
NZMFishDEEPWATER-SMOOTHOREOCR-1979-2006-JENSEN,New Zealand-MFish-CR,879324881,-44.09,-26.98
NZMFishDEEPWATER-SMOOTHOREOWECR-1973-2004-JENSEN,New Zealand-MFish-WECR,5463743046,-44.09,150.18
SEFSC-SNOSESHARATL-1950-2005-FAUCONNET,USA-NMFS-ATL,4001904,34.74,-65.83
AFSC-SNOWCRABBS-1979-2008-JENSEN,USA-NMFS-BS,805634758,57.65,-45.42
SEFSC-SNOWGROUPSATLC-1961-2002-STANTON,USA-NMFS-SATLC,392932,31.55,-79.34
WGSSDS-SOLECS-1970-2006-JENNINGS,multinational-ICES-VIIf-g,85513,51.1,-6.16
WGBFAS-SOLEIIIa-1982-2007-JENNINGS,multinational-ICES-IIIa,141326,58.49,10.31
WGNSDS-SOLEIS-1968-2006-MINTO,multinational-ICES-VIIa,134226,53.46,-4.98
WGNSSK-SOLENS-1956-2006-MINTO,multinational-ICES-IV,921642,56.58,2.88
WGNSSK-SOLEVIId-1981-2006-MINTO,multinational-ICES-VIId,74116,50.34,-0.25
WGSSDS-SOLEVIIe-1968-2006-JENNINGS,multinational-ICES-VIIe,94165,49.58,-3.36
WGHMM-SOLEVIII-1982-2006-JENNINGS,multinational-ICES-VIII,793200,45.4,-9.07
NZMFishMIDDEPTHSWG-SOUTHHAKECR-1975-2006-JENSEN,New Zealand-MFish-CR,879324881,-44.09,-26.98
NZMFishMIDDEPTHSWG-SOUTHHAKESA-1975-2007-JENSEN,New Zealand-MFish-SA,1665563263,-49.7,116.74
SEFSC-SPANMACKSATLC-1950-2008-JENSEN,USA-NMFS-SATLC,392932,31.55,-79.34
WGBFAS-SPRAT22-32-1973-2007-JENNINGS,multinational-ICES-22-32,1104398,61.16,21.5
HAWG-SPRATNS-1995-2007-MINTO,multinational-ICES-IV,921642,56.58,2.88
AFSC-SRAKEROCKBSAI-1977-2008-STANTON,USA-NMFS-BSAI,805634758,57.65,-45.42
MARAM-SSLOBSTERSASC-1973-2008-Johnston,South Africa-DETMCM-SASC,2389559,-34.33,27.53
NWFSC-SSTHORNHPCOAST-1901-2005-STANTON,USA-NMFS-PCOAST,3246712,39.54,-120.48
SWFSC-STFLOUNNPCOAST-1970-2005-STANTON,USA-NMFS-NPCOAST,1206543,47.75,-125
SWFSC-STFLOUNSPCOAST-1970-2005-STANTON,USA-NMFS-SPCOAST,205759,33.75,-121
SPC-STMARLINSWPO-1950-2003-JENSEN,multinational-SPC-WPO,12970145,2.7,-124.65
NEFSC-STRIPEDBASSGOMCHATT-1982-2006-SHEPHERD,USA-NMFS-5YCHATT,302113,39.12,-72.47
NEFSC-SURFMATLC-1965-2008-JACOBSON,USA-NMFS-MATLC,496532,38.02,-74.36
CSIRO-SWHITSE-1945-2007-FULTON,Australia-AFMA-SE,5430238,-34.03,147.02
ICCAT-SWORDMED-1968-2006-JENSEN,multinational-ICCAT-MED,5423167,37.04,15.86
ICCAT-SWORDNATL-1978-2007-JENSEN,multinational-ICCAT-NATL,56168545,49.41,-22.72
ICCAT-SWORDSATL-1970-2005-JENSEN,multinational-ICCAT-SATL,23416509,-30.52,-24.68
TAFI-TASGIANTCRABTAS-1990-2007-JENSEN,Australia-AFMA-TAS,581887,-42.03,146.6
RIDEM-TAUTOGRI-1959-2007-COLLIE,USA-US State-RI,5518,41.66,-71.5
CSIRO-TIGERFLATSE-1913-2006-FULTON,Australia-AFMA-SE,5430238,-34.03,147.02
NEFSC-TILEMATLC-1973-2008-NITSCHKE,USA-NMFS-MATLC,496532,38.02,-74.36
SEFSC-TILESATLC-1961-2002-STANTON,USA-NMFS-SATLC,392932,31.55,-79.34
NZMFishINSHOREWG-TREVALLYTRE7-1944-2005-JENSEN,New Zealand-MFish-TRE7,309307,-41.56,168.36
SEFSC-VSNAPGM-1981-2004-JENSEN,USA-NMFS-GM,2496985,24.95,-91.62
SEFSC-VSNAPSATLC-1946-2008-STANTON,USA-NMFS-SATLC,392932,31.55,-79.34
CSIRO-WAREHOUESE-1984-2006-FULTON,Australia-AFMA-ESE,894716,-37.72,150.56
CSIRO-WAREHOUWSE-1984-2006-FULTON,Australia-AFMA-WSE,1232722,-36.88,138.69
NEFSC-WEAKFISHATLC-1981-2008-STANTON,USA-NMFS-ATLC,1237104,35.7,-75.55
NEFSC-WHAKEGBGOM-1963-2007-SOSEBEE,USA-NMFS-5YZ,296009,41.87,-68.89
WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO,multinational-ICES-IIIa-IV-VIId,1137714,56.47,3.67
WGNSDS-WHITVIa-1984-2007-MINTO,multinational-ICES-VIa,285871,57.29,-8.18
WGSSDS-WHITVIIek-1982-2007-JENNINGS,multinational-ICES-VIIe-k,557231,50.13,-10.03
NEFSC-WINDOWGOMGB-1975-2007-HENDRICKSON,USA-NMFS-5YZ,296009,41.87,-68.89
NEFSC-WINDOWSNEMATL-1975-2007-HENDRICKSON,USA-NMFS-SNEMATL,1700861,37.68,-62.5
NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON,USA-NMFS-5Z,185058,40.67,-68.69
NEFSC-WINFLOUND5Y-1982-2008-NITSCHKE,USA-NMFS-5Y,111362,43.78,-69.21
RIDEM-WINFLOUNDRI-1959-2007-COLLIE,USA-US State-RI,5518,41.66,-71.5
NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO,USA-NMFS-SNEMATL,1700861,37.68,-62.5
NEFSC-WITFLOUN5Y-1982-2008-WIGLEY,USA-NMFS-5Y,111362,43.78,-69.21
AFSC-WPOLLAI-1976-2008-MELNYCHUK,USA-NMFS-AI,331067,53.5,-167.5
AFSC-WPOLLEBS-1963-2008-MELNYCHUK,USA-NMFS-EBS,1032738,60.17,-167.55
AFSC-WPOLLGA-1964-2008-MELNYCHUK,USA-NMFS-GA,819151,57.98,-146.69
SFI-WPOLLNSO-1985-1994-JENSEN,Russia-RFFA-NSO,783976,59.53,149.41
VNIRO-WPOLLWBS-1994-2004-JENSEN,Russia-RFFA-WBS,1541792552,58.81,146.09
NWFSC-WROCKPCOAST-1955-2006-BRANCH,USA-NMFS-PCOAST,3246712,39.54,-120.48
NAFO-SC-YELL3LNO-1960-2009-BAUM,multinational-NAFO-3LNO,633125,44.56,-50.13
NEFSC-YELLCCODGOM-1935-2008-LEGAULT,USA-NMFS-CCOD5Y,111362,43.78,-69.21
NEFSC-YELLGB-1935-2008-BAUM,USA-NMFS-5Z,185058,40.67,-68.69
NEFSC-YELLSNEMATL-1935-2008-BAUM,USA-NMFS-SNEMATL,1700861,37.68,-62.5
NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH,USA-NMFS-PCOAST,3246712,39.54,-120.48
ICCAT-YFINATL-1970-2006-JENSEN,USA-NMFS-ATL,4001904,34.74,-65.83
SPC-YFINCWPAC-1952-2005-JENSEN,USA-NMFS-CWPAC,428462,38.25,-125.03
IATTC-YFINEPAC-1975-2007-JENSEN,multinational-IATTC-NEPAC,8589330178,42.74,120.79
AFSC-YSOLEBSAI-1959-2008-MELNYCHUK,USA-NMFS-BSAI,805634758,57.65,-45.42
NWFSC-YTROCKNPCOAST-1967-2005-STANTON,USA-NMFS-NPCOAST,1206543,47.75,-125
SEFSC-YTSNAPSATLC-1962-2001-STANTON,USA-NMFS-SATLC,392932,31.55,-79.34
