"ASSESSID","COMMON","Scientific_name","MGMT","AREA","LME_NAME","LME_NUMBER","NUM_LMEs","BRP_BMSY","BRP_SSBMSY","metric_TOTAL","metric_SSB","firstYR_TOTAL","firstYR_SSB","mean_ut","median_ut","q90_ut","mean_umsy","median_umsy","q90umsy"
"CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN","Antarctic toothfish","Dissostichus mawsoni","CCAMLR","Ross Sea","Subantarctic High Seas",-96,1,18802.1604,NA,"MT","MT",1995,1995,0.0154383678593262,0.00852641040434255,0.0395437827091555,NA,NA,NA
"CCSBT-SC-SBT-1931-2009-Parma","Southern bluefin tuna","Thunnus maccoyii","CCSBT","Southern Oceans","Indian High Seas",-97,3,NA,277047.0811,"MT","MT",1945,1945,0.0632716627874897,0.0723746131534797,0.097944257414413,NA,NA,NA
"CSIRO-BIGHTREDSE-1958-2007-FULTON","Bight redfish","Centroberyx gerrardi","AFMA","Southeast Australia","Southwest Australian Shelf",43,1,NA,16240.128,"MT","MT",1958,1958,0.00265395577261535,0,0.007280605485789,NA,NA,NA
"CSIRO-BTSHRIMPNAUST-1970-2006-FULTON","Brown tiger shrimp","Penaeus esculentus","AFMA","Northern Australia","North Australian Shelf",39,1,NA,NA,"no value","relative",NA,1970,NA,NA,NA,NA,NA,NA
"CSIRO-DEEPFLATHEADSE-1978-2007-FULTON","Deepwater flathead","Platycephalus conatus","AFMA","Southeast Australia","Southwest Australian Shelf",43,1,NA,3286.512,"MT","MT",1978,1978,0.0618041610555302,0.0439695482590953,0.151585214031098,NA,NA,NA
"CSIRO-GEMFISHSE-1966-2007-FULTON","common gemfish","Rexea solandri","AFMA","Southeast Australia","Southeast Australian Shelf",42,1,NA,5458.32,"MT","MT",1966,1966,0.120523397197679,0.121382344834778,0.219250423331922,NA,NA,NA
"CSIRO-GTPRAWNNAUST-1970-2006-FULTON","Grooved Tiger Prawn","Penaeus semisulcatus","AFMA","Northern Australia","North Australian Shelf",39,1,NA,NA,"no value","relative",NA,1970,NA,NA,NA,NA,NA,NA
"CSIRO-MORWONGSE-1913-2007-FULTON","Jackass morwong","Nemadactylus macropterus","AFMA","Southeast Australia","Southeast Australian Shelf",42,1,NA,11482.608,"MT","MT",1945,1945,0.082121014679911,0.0725361251017221,0.121178021386858,NA,NA,NA
"CSIRO-NZLINGESE-1968-2007-FULTON","Ling","Genypterus blacodes","AFMA","Southeast Australia","Southeast Australian Shelf",42,1,NA,3324.48,"MT","MT",1968,1968,0.0629534865682564,0.0536917226250578,0.140584345206798,NA,NA,NA
"CSIRO-NZLINGWSE-1968-2007-FULTON","Ling","Genypterus blacodes","AFMA","Western half of Southeast Australia","Southwest Australian Shelf",43,1,NA,3377.5632,"MT","MT",1968,1968,0.0230291898915884,0.0109445488133228,0.0599680552810495,NA,NA,NA
"CSIRO-OROUGHYCASCADE-1987-2006-FULTON","Orange roughy","Hoplostethus atlanticus","AFMA","Cascade Plateau","Southeast Australian Shelf",42,1,NA,NA,"MT","MT",1987,1987,0.0107378982117251,0.012459117924144,0.0203405027950002,NA,NA,NA
"CSIRO-OROUGHYSE-1978-2007-FULTON","Orange roughy","Hoplostethus atlanticus","AFMA","Southeast Australia","Southeast Australian Shelf",42,1,NA,8149.26,"MT","MT",1978,1978,0.0469321344997962,0.0124247361337395,0.171310021980236,NA,NA,NA
"CSIRO-PTOOTHFISHMI-1975-2010-FAY","Patagonian toothfish","Dissostichus eleginoides","AFMA","Macquarie Island","Subantarctic High Seas",-96,1,NA,869.707,"MT","MT",1975,1975,0.0150705235954613,0,0.0489767293051035,NA,NA,NA
"CSIRO-SILVERFISHSE-1978-2006-FULTON","Silverfish","Seriolella punctata","AFMA","Southeast Australia","Southeast Australian Shelf",42,1,NA,9927.456,"MT","MT",1978,1978,0.103276576480336,0.0944379130949956,0.213870917608971,NA,NA,NA
"CSIRO-SWHITSE-1945-2007-FULTON","School whiting","Sillago flindersi","AFMA","Southeast Australia","Southeast Australian Shelf",42,NA,NA,3734.3088,"MT","MT",1945,1945,0.0816226864242928,0.0348245761489344,0.202596538581531,NA,NA,NA
"CSIRO-TIGERFLATSE-1913-2006-FULTON","Tiger flathead","Neoplatycephalus richardsoni","AFMA","Southeast Australia","Southeast Australian Shelf",42,NA,NA,5472.868,"MT","MT",1945,1945,0.170524076719165,0.13978270289355,0.278093371056012,NA,NA,NA
"CSIRO-WAREHOUESE-1984-2006-FULTON","Blue Warehou","Seriolella brama","AFMA","Eastern half of Southeast Australia","Southeast Australian Shelf",42,NA,NA,1568.16,"MT","MT",1984,1984,0.164555594033846,0.134029662588061,0.281822509214723,NA,NA,NA
"CSIRO-WAREHOUWSE-1984-2006-FULTON","Blue Warehou","Seriolella brama","AFMA","Western half of Southeast Australia","Southwest Australian Shelf",43,NA,NA,1568.16,"MT","MT",1984,1984,0.217393935420247,0.25641628328871,0.356488274516078,NA,NA,NA
"DFO-COD5Zjm-1978-2003-PREFONTAINE","Atlantic cod","Gadus morhua","DFO","Georges Bank","Northeast U.S. Continental Shelf",7,1,NA,NA,"MT","MT",1978,1978,0.223696920563278,0.189878358160411,0.378838911523885,NA,NA,NA
"DFO-HAD5Zejm-1968-2003-PREFONTAINE","Haddock","Melanogrammus aeglefinus","DFO","Georges Bank","Northeast U.S. Continental Shelf",7,1,NA,NA,"MT","MT",1969,1969,0.237995823626534,0.23959532389739,0.34309898717144,NA,NA,NA
"DFO-HERR4VWX-1964-2006-PREFONTAINE","Herring","Clupea harengus","DFO","Scotian Shelf and Bay of Fundy","Scotian Shelf",8,1,NA,NA,"MT","MT",1965,1965,NA,NA,NA,NA,NA,NA
"DFO-MAR-COD4VsW-1958-2002-PREFONTAINE","Atlantic cod","Gadus morhua","DFO","Eastern Scotian Shelf","Scotian Shelf",8,1,NA,NA,"no value","MT",NA,1970,NA,NA,NA,NA,NA,NA
"DFO-MAR-CUSK4X-1970-2007-RICARD","Cusk","Brosme brosme","DFO","Western Scotian Shelf","Northeast U.S. Continental Shelf",7,1,25790,NA,"MT","no value",1970,NA,NA,NA,NA,NA,NA,NA
"DFO-MAR-HAD4X5Y-1960-2003-PREFONTAINE","Haddock","Melanogrammus aeglefinus","DFO","Western Scotian Shelf, Bay of Fundy and Gulf of Maine","Northeast U.S. Continental Shelf",7,2,NA,NA,"MT","MT",1970,1970,0.254306034975669,0.285020006847067,0.348445822662207,NA,NA,NA
"DFO-NFLD-COD2J3KL-1850-2005-RICARD","Atlantic cod","Gadus morhua","DFO","Southern Labrador-Eastern Newfoundland","Newfoundland-Labrador Shelf",9,1,NA,NA,"no value","MT",NA,1962,NA,NA,NA,NA,NA,NA
"DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE","Atlantic cod","Gadus morhua","DFO","Southern Labrador-Eastern Newfoundland","Newfoundland-Labrador Shelf",9,1,NA,NA,"MT","MT",1995,1995,0.117155192202695,0.0518904751282623,0.268491460484447,NA,NA,NA
"DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE","Atlantic cod","Gadus morhua","DFO","St. Pierre Bank","Newfoundland-Labrador Shelf",9,1,NA,NA,"MT","MT",1977,1977,0.264372452844976,0.279917317619271,0.435351314967975,NA,NA,NA
"DFO-PAC-ESOLEHS-1944-2001-COLLIE","English sole","Solea vulgaris","DFO","Hecate Strait","Gulf of Alaska",2,1,NA,NA,"MT","no value",1945,NA,0.259093724930371,0.216262975778547,0.440612430258207,NA,NA,NA
"DFO-PAC-HERRCC-1951-2007-COLLIE","Pacific herring","Clupea harengus","DFO","Central Coast","Gulf of Alaska",2,1,NA,NA,"MT","MT",1951,1951,0.288246174071986,0.187632994473153,0.719583403436393,NA,NA,NA
"DFO-PAC-HERRPRD-1951-2007-COLLIE","Pacific herring","Clupea harengus","DFO","Prince Rupert District","Gulf of Alaska",2,1,NA,NA,"MT","MT",1951,1951,0.232353999367174,0.158975522825049,0.527893411274744,NA,NA,NA
"DFO-PAC-HERRQCI-1951-2007-COLLIE","Pacific herring","Clupea harengus","DFO","Queen Charlotte Islands","Gulf of Alaska",2,1,NA,NA,"MT","MT",1951,1951,0.239058179577983,0.157661315510026,0.586719852537393,NA,NA,NA
"DFO-PAC-HERRSOG-1951-2007-COLLIE","Pacific herring","Clupea harengus","DFO","Straight of Georgia","Gulf of Alaska",2,1,NA,NA,"MT","MT",1951,1951,0.28308578975622,0.169890112547197,0.701771755668133,NA,NA,NA
