50
1184740
16000 975283
65000 1109750
136300 1184740
243400 1162920
348600 1003380
200800 718766
120000 575480
100200 504520
72600 445067
44900 407215
77500 391565
77600 336139
56400 274904
51000 230557
50400 188106
45500 143766
21600 103323
8000 87282.1
8300 86982.8
10800 86930.2
10500 84554.9
5400 82706.7
2821 86419.3
2752 92962.2
800 100544
2200 111774
4500 122596
8540 140785
11780 157710
13090 173001
6631 186866
6159 205787
2060 222765
1853 241326
5742 257530
8378 267900
9531 276139
8961 283098
10472 290459
10157 297269
10817 307178
11734 316713
10861 324663
11528 332198
11272 337242
13590 340835
12953 340346
12399 339109
12985 318336
14522 334797
