"","ASSESSID","X.1","X","LME_NAME","SCIENTIFICNAME","COMMON","AREA","LME_NUMBER","LME_COUNT","BIOMASS_TS_LENGTH","LANDINGS_TS_LENGTH","B_msy","B_msy..n...2","short_ID","BMSY","lnk","maxB","hit"
"55","CSIRO-MORWONGSE-1913-2007-FULTON",55,55,"Southeast Australian Shelf","Nemadactylus macropterus","Jackass morwong","Southeast Australia",42,1,95,95,26588.8,26588.8,"CSIRO43",26588.8,10.8814,30566.5,1
"56","CSIRO-NZLINGESE-1968-2007-FULTON",56,56,"Southeast Australian Shelf","Genypterus blacodes","Ling","Southeast Australia",42,1,40,40,7133.25,7133.25,"CSIRO44",7133.25,9.56567,14328.6,1
"57","CSIRO-NZLINGWSE-1968-2007-FULTON",57,57,"Southwest Australian Shelf","Genypterus blacodes","Ling","Western half of Southeast Australia",43,1,40,40,1.5e+15,1.5e+15,"CSIRO45",1.49791e+15,35.636,17356.5,1
"58","CSIRO-OROUGHYCASCADE-1987-2006-FULTON",58,58,"Southeast Australian Shelf","Hoplostethus atlanticus","Orange roughy","Cascade Plateau",42,1,20,20,42132.8,42132.8,"CSIRO46",42132.8,11.3417,91202.6,1
"59","CSIRO-OROUGHYSE-1978-2007-FULTON",59,59,"Southeast Australian Shelf","Hoplostethus atlanticus","Orange roughy","Southeast Australia",42,1,30,29,85184.3,85184.3,"CSIRO47",85184.3,12.0457,195951,1
"60","CSIRO-PTOOTHFISHMI-1975-2010-FAY",60,60,"Subantarctic High Seas","Dissostichus eleginoides","Patagonian toothfish","Macquarie Island",-96,1,36,35,4199.27,4199.27,"CSIRO48",4199.27,9.03581,9727.9,1
"61","CSIRO-SILVERFISHSE-1978-2006-FULTON",61,61,"Southeast Australian Shelf","Seriolella punctata","Silverfish","Southeast Australia",42,1,29,29,12232,12232,"CSIRO49",12232,10.105,25368.6,1
"62","CSIRO-SWHITSE-1945-2007-FULTON",62,62,"Southeast Australian Shelf","Sillago flindersi","School whiting","Southeast Australia",42,1,63,63,7078.35,7078.35,"CSIRO50",7078.35,9.55794,14060.6,1
"63","CSIRO-TIGERFLATSE-1913-2006-FULTON",63,63,"Southeast Australian Shelf","Neoplatycephalus richardsoni","Tiger flathead","Southeast Australia",42,1,94,93,24226.6,24226.6,"CSIRO51",24226.6,10.7884,50789.9,1
"64","CSIRO-WAREHOUESE-1984-2006-FULTON",64,64,"Southeast Australian Shelf","Seriolella brama","Blue Warehou","Eastern half of Southeast Australia",42,1,23,23,9010.24,9010.24,"CSIRO52",9010.24,9.79926,16808.9,1
