"stock","res","yr","ct"
"SWFSC-SARDPCOAST-1981-2007-PINSKY","Medium",1997,114707
"SWFSC-SARDPCOAST-1981-2007-PINSKY","Medium",1998,89357
"SWFSC-SARDPCOAST-1981-2007-PINSKY","Medium",1999,116116
"SWFSC-SARDPCOAST-1981-2007-PINSKY","Medium",2000,142063
"SWFSC-SARDPCOAST-1981-2007-PINSKY","Medium",2001,125857
"SWFSC-SARDPCOAST-1981-2007-PINSKY","Medium",2002,148951
"SWFSC-SARDPCOAST-1981-2007-PINSKY","Medium",2003,116918
"SWFSC-SARDPCOAST-1981-2007-PINSKY","Medium",2004,138948
"SWFSC-SARDPCOAST-1981-2007-PINSKY","Medium",2005,150046
"SWFSC-SARDPCOAST-1981-2007-PINSKY","Medium",2006,149789
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","Medium",1950,127
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","Medium",1951,125
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","Medium",1952,137
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","Medium",1953,143
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","Medium",1954,161
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","Medium",1955,172
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","Medium",1956,174
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","Medium",1957,154
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","Medium",1958,150
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","Medium",1959,122
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","Medium",1960,119
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","Medium",1961,140
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","Medium",1962,96
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","Medium",1963,120
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","Medium",1964,166
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","Medium",1965,261
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","Medium",1966,1690
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","Medium",1967,8491
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","Medium",1968,1805
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","Medium",1969,247
