"stock","res","yr","ct"
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1960,133515
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1961,105951
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1962,120707
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1963,148627
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1964,197426
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1965,185600
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1966,203788
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1967,181326
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1968,110247
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1969,140060
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1970,264924
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1971,241272
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1972,214334
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1973,213859
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1974,274121
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1975,233453
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1976,242486
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1977,182817
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1978,154464
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1979,164180
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1980,144554
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1981,175516
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1982,168034
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1983,156936
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1984,158786
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1985,107183
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1986,70458
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1987,92391
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1988,114242
"AFWG-POLLNEAR-1957-2006-MINTO","Medium",1989,122310
