"stock","res","yr","ct"
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1962,230
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1963,285
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1964,184
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1965,420
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1966,1155
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1967,1233
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1968,2002
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1969,555
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1970,706
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1971,842
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1972,1686
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1973,3089
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1974,1459
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1975,2272
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1976,1044
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1977,1450
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1978,1212
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1979,1829
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1980,1279
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1981,1727
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1982,1912
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1983,2292
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1984,2805
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1985,3387
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1986,2914
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1987,2556
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1988,2910
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1989,4902
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1990,4147
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1991,3534
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1992,3376
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1993,3852
"NWFSC-SSTHORNHPCOAST-1901-2005-STANTON","Medium",1994,3435
