"stock","res","yr","ct"
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",1981,29684.11
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",1982,29588.99
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",1983,27734.58
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",1984,26224.7
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",1985,23181.19
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",1986,20655.94
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",1987,19412.49
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",1988,20126.83
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",1989,21083.12
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",1990,35558.1
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",1991,26803.51
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",1992,36063.57
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",1993,33787.59
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",1994,28595.41
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",1995,34255.01
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",1996,33794.64
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",1997,23126.45
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",1998,25575.49
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",1999,22377.9
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",2000,15209.39
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",2001,10439.14
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",2002,10757.48
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",2003,6707.68
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",2004,9118.14
"NEFSC-SDOGATLC-1962-2006-SOSEBEE","Medium",2005,7774.82
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",1982,18693
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",1983,26466
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",1984,26057
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",1985,20432
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",1986,20866
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",1987,18312
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",1988,21661
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",1989,10314
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",1990,7976
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",1991,11316
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",1992,11805
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",1993,11477
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",1994,12412
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",1995,10496
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",1996,11459
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",1997,10258
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",1998,11858
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",1999,10874
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",2000,14233
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",2001,11991
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",2002,11431
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",2003,13139
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",2004,14337
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",2005,13779
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",2006,12337
"NEFSC-SFLOUNMATLC-1940-2007-BAUM","Medium",2007,10368
"NEFSC-SHAKEGOMNGB-1955-2005-COL","Medium",1955,53361
"NEFSC-SHAKEGOMNGB-1955-2005-COL","Medium",1956,42150
"NEFSC-SHAKEGOMNGB-1955-2005-COL","Medium",1957,62750
"NEFSC-SHAKEGOMNGB-1955-2005-COL","Medium",1958,49903
"NEFSC-SHAKEGOMNGB-1955-2005-COL","Medium",1959,50608
"NEFSC-SHAKEGOMNGB-1955-2005-COL","Medium",1960,45543
"NEFSC-SHAKEGOMNGB-1955-2005-COL","Medium",1961,39688
