"stock","res","yr","ct"
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1970,5466
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1971,6167
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1972,3944
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1973,3554
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1974,5340
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1975,5191
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1976,6065
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1977,6407
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1978,5684
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1979,5760
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1980,6404
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1981,6009
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1982,1458
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1983,2434
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1984,2233
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1985,2725
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1986,2408
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1987,2621
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1988,3151
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1989,2920
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1990,2780
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1991,2921
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1992,2282
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1993,2368
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1994,2113
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1995,2423
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1996,2495
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1997,2334
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1998,2657
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",1999,2772
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",2000,2775
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",2001,2785
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Medium",2002,3319
