"stock","res","yr","ct"
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",1984,4038
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",1985,4251
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",1986,4805
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",1987,5086
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",1988,5382
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",1989,5845
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",1990,5916
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",1991,5569
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",1992,6550
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",1993,6420
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",1994,7227
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",1995,6205
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",1996,5854
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",1997,6259
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",1998,5982
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",1999,5249
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",2000,5760
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",2001,4828
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",2002,5485
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",2003,4106
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",2004,3990
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",2005,4455
"WGHMM-SOLEVIII-1982-2006-JENNINGS","Medium",2006,4463
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","Medium",1987,17572
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","Medium",1988,17420
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","Medium",1989,10041
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","Medium",1990,43461
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","Medium",1991,22290
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","Medium",1992,49325
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","Medium",1993,46022
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","Medium",1994,37547
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","Medium",1995,35083
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","Medium",1996,37649
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","Medium",1997,24814
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","Medium",1998,37474
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","Medium",1999,28473
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","Medium",2000,43190
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","Medium",2001,45620
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","Medium",2002,19454
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","Medium",2003,11105
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","Medium",2004,19034
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","Medium",2005,1264
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","Medium",2006,2246
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1972,361262
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1973,570719
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1974,607473
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1975,784329
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1976,828434
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1977,620016
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1978,736519
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1979,842739
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1980,734950
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1981,754045
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1982,716987
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1983,672283
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1984,641928
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1985,614371
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1986,602201
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1987,654992
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1988,680491
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1989,585920
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1990,626107
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1991,675665
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1992,760690
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1993,824568
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1994,819087
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1995,756277
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1996,563472
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1997,573029
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1998,666316
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",1999,640309
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",2000,738606
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",2001,737463
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",2002,772905
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",2003,669600
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",2004,650221
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",2005,543486
"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Medium",2006,472652
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",1978,173761
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",1979,162454
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",1980,204861
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",1981,242574
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",1982,214148
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",1983,176636
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",1984,215114
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",1985,219928
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",1986,192838
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",1987,176283
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",1988,157273
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",1989,146539
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",1990,142966
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",1991,132785
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",1992,131196
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",1993,144949
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",1994,138725
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",1995,126755
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",1996,115179
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",1997,117250
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",1998,112033
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",1999,95793
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",2000,87272
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",2001,102903
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",2002,101741
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",2003,99113
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",2004,98464
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",2005,97282
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Medium",2006,88816
"WGNPBW-BWHITNEA-1980-2007-JENNINGS","Medium",1981,922980
"WGNPBW-BWHITNEA-1980-2007-JENNINGS","Medium",1982,550643
"WGNPBW-BWHITNEA-1980-2007-JENNINGS","Medium",1983,553344
"WGNPBW-BWHITNEA-1980-2007-JENNINGS","Medium",1984,615569
"WGNPBW-BWHITNEA-1980-2007-JENNINGS","Medium",1985,678214
