"stock","res","yr","ct"
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1913,7
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1914,30
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1915,40
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1916,53
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1917,82
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1918,73
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1919,25
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1920,31
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1921,13
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1922,9
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1923,7
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1924,40
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1925,25
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1926,30
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1927,30
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1928,57
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1929,34
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1930,54
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1931,108
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1932,60
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1933,120
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1934,519
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1935,7549
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1936,23162
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1937,14823
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1938,20640
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1939,25406
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1940,26762
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1941,50796
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1942,55892
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1943,48348
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1944,50439
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1945,37912
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1946,42423
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1947,40160
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1948,43631
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1949,30743
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1950,34307
"NEFSC-ACADREDGOMGB-1913-2007-MILLER","Medium",1951,30077
