93
69785
36.94 69785
58.85 69751
61.3 69697
38.59 69642
40.75 69611
35.08 69580
32.2 69555
38.64 69534
40.35 69509
46.78 69482
62.49 69450
56.06 69404
62.31 69366
73.95 69324
79.17 69272
87.76 69217
63.67 69156
60.05 69121
60.71 69090
71.93 69060
65.87 69020
73.74 68987
74.15 68948
78.7 68909
133.27 68867
197.87 68775
303.79 68625
1031.97 68380
1523.41 67447
3253.2 66087
2046.37 63120
1135.29 61451
1080.75 60746
1142.93 60132
1228.25 59490
1044.21 58796
963.36 58305
661.24 57910
792.47 57819
807.72 57600
633.86 57368
1115.19 57303
1039.36 56773
1068.64 56328
1188.12 55869
1124.57 55320
1270.52 54848
975.59 54268
810.01 54013
1110.93 53922
2988.6 53498
1428.29 51241
1619.02 50461
1535.1 49535
1486.51 48799
1602.02 48184
1676.29 47482
2316.66 46709
1841.53 45352
1835.31 44554
1476.56 43766
2167.03 43406
3073.52 42428
3483.94 40577
3995.86 38402
3532.38 35813
5543.56 33646
4918.48 29522
2405.24 26117
2729.73 25097
2303 23724
3180.65 22743
3073.82 20848
3335.29 19014
2803.61 16900
3207.12 15328
2866.53 13403
2235.38 11872
1217.92 11004
1196.43 11114
1558.82 11201
1480.1 10874
1494.96 10542
898.71 10122
199.85 10175
133.03 10854
98.1 11544
59.93 12246
50.27 12962
60.4 13663
62.01 14317
44.73 14891
40.5 15398
