"stock";"sigR";"startbio.1.";"startbio.2.";"interbio.1.";"interbio.2.";"finalbio.1.";"finalbio.2.";"min.yr.";"max.yr.";"res";"max.ct.";"ct.1.";"ct.nyr.";"length.r.";"exp.mean.log.r...";"sd.log.r..";"min.r.";"quantile.r..0.05.";"quantile.r..0.25.";"median.r.";"quantile.r..0.75.";"quantile.r..0.95.";"max.r.";"exp.mean.log.k...";"sd.log.k..";"min.k.";"quantile.k..0.05.";"quantile.k..0.25.";"median.k.";"quantile.k..0.75.";"quantile.k..0.95.";"max.k.";"exp.mean.log.msy...";"sd.log.msy..";"min.msy.";"quantile.msy..0.05.";"quantile.msy..0.25.";"median.msy.";"quantile.msy..0.75.";"quantile.msy..0.95.";"max.msy."
"ADFG-HERRPWS-1980-2006-COLLIE";0;0.5;0.9;0;1;0.01;0.4;1980;2006;"Medium";192.22;71.94;0;2047;0.317508562750446;0.238007135618367;0.219523309443938;0.2378013623283;0.266029227274775;0.302861581012461;0.35656348751805;0.512518538954193;1.02279588704576;636.425925620966;0.14106030263038;299.076839242045;470.464146032554;601.542994696578;664.687604650556;705.072606656436;729.362493989519;734.891179425306;50.5176702352588;0.115976342008116;40.2683042675988;42.797450466646;46.0528532758497;50.0072313304261;54.5771022635723;61.9645584790971;76.4736402718525
"ADFG-HERRSITKA-1978-2007-COLLIE";0;0.5;0.9;0;1;0.3;0.7;1978;2007;"Medium";132.99;1.58;69.61;22246;0.551327806604768;0.418731337956749;0.219027728923607;0.283112879090324;0.392408439228314;0.546347564939435;0.777469344615778;1.08608550014333;1.19985015555376;463.916235814121;0.348950015399334;221.156309415942;260.021393360965;347.370661258906;474.169186236077;629.211514864647;773.614921328728;810.149117783254;63.942480184935;0.13630759911277;44.1121942029306;50.2028693568828;57.9532567725204;64.5863478533506;71.4285087201194;78.2414208380055;82.1613595186206
"AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK";0;0.5;0.9;0;1;0.01;0.4;1975;2007;"Medium";61.638;2.492;19.427;2796;0.303751584406074;0.203271483488644;0.219868613262217;0.237140888496016;0.260873355217097;0.28934305955057;0.340526494885325;0.446116577592118;0.834031335887482;211.906442604331;0.12836915177506;113.216996417331;165.487495592196;197.115220113052;219.063736154583;234.840862150892;245.275326006004;247.846950672093;16.0917294217301;0.0789387339466532;13.5872498579422;14.2991097978272;15.2788233770856;15.9781196463947;16.8036947523269;18.4795538125734;23.6066306917787
"AFSC-ARFLOUNDBSAI-1970-2008-STANTON";0;0.3;0.6;0;1;0.3;0.7;1970;2008;"Medium";24.668;12.872;19.403;13978;0.515359332416994;0.455833368054082;0.218208218838852;0.265721030025836;0.348283468929525;0.493344294535265;0.762611684806735;1.09215601239917;1.19991624369794;122.794895839733;0.399247506311555;56.8786919536826;64.2594377496928;86.7579777532854;126.877261326408;175.349826982318;217.841178211774;228.990565151574;15.8208738860448;0.0927949562903402;12.47866414617;13.4462771105938;14.8011774021116;15.9444282709052;16.9652616243778;18.2833181922821;19.7304027251458
"AFSC-ARFLOUNDGA-1958-2010-STANTON";0;0.5;0.9;0;1;0.3;0.7;1964;2008;"Medium";29.994;0.514;27.938;26305;0.588409861695424;0.414279420203947;0.218432856787773;0.293353957852913;0.426604611898321;0.591405730766809;0.83418496337891;1.11303729211378;1.19989898798187;154.092070750446;0.326264060302705;74.4856255156591;89.160992828055;118.055378388571;157.414719977433;205.259858314485;247.398515175634;258.18649065517;22.6673235096579;0.168127926713805;14.0665507220476;16.8263277199041;20.1975497120312;22.8282066196346;25.8764496606614;29.2383446507924;31.5377000601471
"AFSC-ATKABSAI-1976-2009-STANTON";0;0.5;0.9;0;1;0.3;0.7;1977;2008;"Medium";103.942;21.763;58.471;15705;0.494584732138869;0.400452906019871;0.217004305233992;0.272632995940996;0.358724234748471;0.474545342454066;0.671762514030961;1.00458214430604;1.19704021374788;482.080028318493;0.331665359104716;225.014341624403;261.754642767946;374.942900222918;509.488378652443;641.489744881246;750.07292482541;776.072512317098;59.6073554188501;0.114370419348863;42.0435940337575;47.9491648956826;55.2255193920012;60.7672137819611;65.4652376322124;69.2486565621679;70.4767119905205
"AFSC-CABEZNCAL-1916-2005-STANTON";0;0.5;0.9;0;1;0.01;0.4;1916;2004;"Medium";0.24979;0.00107;0.07291;5902;0.399323332961643;0.378459972208777;0.216810225099779;0.246207553294108;0.293281460195455;0.371889260116686;0.511125085206406;0.833711738737829;1.18699089221917;0.990467526709493;0.250053259104483;0.485652243025369;0.61323562962988;0.838337116585024;1.03767770591713;1.22209325110601;1.36155133736446;1.40026487707898;0.0988791984889774;0.133487518605977;0.0754404457369938;0.0813808263663472;0.0896384644812408;0.0970097981820929;0.107631261511628;0.127354224136433;0.144135010604728
"AFSC-CABEZSCAL-1932-2005-STANTON";0;0.5;0.9;0;1;0.01;0.4;1932;2004;"Medium";0.19001;0.00049;0.0128;1274;0.276582932784808;0.190430745722453;0.219152590575033;0.22747013286873;0.239631058182243;0.260566082349817;0.300167608801896;0.419029312367686;0.607951018606047;0.436624993615745;0.108517981405556;0.287597517361512;0.344762457177274;0.415582727274092;0.450961081713812;0.474579871645569;0.489691397767618;0.493649420442784;0.0301907553153477;0.082438818133723;0.0270007857071229;0.0277013229267749;0.028517525012354;0.0294566564216725;0.0311311322436305;0.0361163922237541;0.0437113009071254
"AFSC-DSOLEGA-1978-2010-STANTON";0;0.5;0.9;0;1;0.01;0.4;1978;2008;"Medium";9.741;0.827;0.539;2463;0.297658888712223;0.198091026423735;0.220314556552624;0.236413574698285;0.2581546209727;0.283246258579847;0.328037465175604;0.443597111752692;0.800690427384386;30.257402812205;0.0811508256525846;19.8703407879497;25.6694874822571;29.1044274460097;30.9294346676344;32.2155410418615;33.0255712649728;33.1924509647967;2.25159622409976;0.118500462416579;1.8242987277374;1.93127338450705;2.07873331909152;2.19556386296022;2.38764501095668;2.84466217898799;3.97749791444422
"AFSC-DUSROCKGA-1973-2008-MELNYCHUK";0;0.5;0.9;0;1;0.3;0.7;1977;2008;"Medium";4.538;0.388;3.527;18002;0.526272948971102;0.407354098819251;0.217940240824052;0.280224562276151;0.379632080487161;0.511583071083566;0.739448370020598;1.0271813852657;1.1174096636557;23.0471264206398;0.336399370178481;10.8086711671919;13.0218428292092;17.4887017084294;23.9960750939506;31.1327386911273;36.6991930968091;38.0760907027822;3.03226979667497;0.124295035080908;2.07182489006675;2.39997372478922;2.79749572427356;3.07413076537685;3.34668763396874;3.60486083859854;3.84537545877803
